"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"701","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","American shad",2412661,34773,"accepted",158670,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa sapidissima","yes"
"702","Alosa alabamae","Alosa alabamae","Alosa alabamae","Alosa alabamae","Alosa alabamae","Alabama shad",2412616,469658,"accepted",272248,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa alabamae","no"
"703","Alosa alosa","Alosa alosa","Alosa alosa","Alosa alosa","Alosa alosa","allis shad",2412685,278164,"accepted",126413,"accepted",0,"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa alosa","no"
"704","Merluccius productus","Merluccius productus","Merluccius productus","Merluccius productus","Merluccius productus","North Pacific hake",2415676,89952,"accepted",272458,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","yes"
"705","Merluccius albidus","Merluccius albidus","Merluccius albidus","Merluccius albidus","Merluccius albidus","offshore hake",2415661,89945,"accepted",158748,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus","no"
"706","Merluccius merluccius","Merluccius merluccius","Merluccius merluccius","Merluccius merluccius","Merluccius merluccius","European hake",2415643,8063,"accepted",126484,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","no"
"707","Merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis","silver hake",2415637,79698,"accepted",158962,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","no"
"708","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis","Senegalese hake",2415668,89953,"accepted",126485,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius senegalensis","no"
"709","Merluccius gayi","Merluccius gayi","Merluccius gayi","Merluccius gayi","Merluccius gayi","Southern Pacific hake",2415631,89948,"accepted",293628,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","no"
"710","Merluccius australis","Merluccius australis","Merluccius australis","Merluccius australis","Merluccius australis","southern hake",2415632,89946,"accepted",272452,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","no"
"711","Merluccius hubbsi","Merluccius hubbsi","Merluccius hubbsi","Merluccius hubbsi","Merluccius hubbsi","Argentine hake",2415636,89949,"accepted",272455,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","no"
"712","Merluccius capensis","Merluccius capensis","Merluccius capensis","Merluccius capensis","Merluccius capensis","shallow-water Cape hake",2415665,89947,"accepted",217746,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","no"
"713","Gadiculus thori","Gadiculus thori","Gadiculus argenteus thori",NA,NA,NA,NA,NA,NA,300719,"unaccepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus thori","no"
"714","Gadiculus argenteus","Gadiculus argenteus","Gadiculus argenteus","Gadiculus argenteus","Gadiculus argenteus","silvery cod",4284220,185737,"accepted",126435,"accepted",0,"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","no"
"715","Sillago sp. 1 SS-2021",NA,"Sillago sp. 1 SS-2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sillaginidae","Sillago","Sillago sp. 1 SS-2021",NA
"716","Eurypleuron owasianum","Eurypleuron owasianum","Eurypleuron owasianum","Eurypleuron owasianum","Eurypleuron owasianum",NA,2346478,2768300,"accepted",217831,"accepted",0,"Animalia","Chordata","Teleostei","Ophidiiformes","Carapidae","Eurypleuron","Eurypleuron owasianum","no"
"717","Tomiyamichthys emilyae","Tomiyamichthys emilyae","Tomiyamichthys emilyae","Tomiyamichthys emilyae","Tomiyamichthys emilyae",NA,10858242,2884371,"accepted",1382141,"accepted",0,"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Tomiyamichthys","Tomiyamichthys emilyae","no"
"718","Pseudetroplus maculatus","Pseudetroplus maculatus","Pseudetroplus maculatus","Pseudetroplus maculatus","Pseudetroplus maculatus","orange chromide",10913619,2926661,"synonym",1461904,"accepted",0,"Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Pseudetroplus","Pseudetroplus maculatus","no"
"719","Pandaka lidwilli","Pandaka lidwilli","Pandaka lidwilli","Pandaka lidwilli","Pandaka lidwilli","Lidwill's dwarfgoby",2377976,186833,"accepted",281972,"accepted",0,"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pandaka","Pandaka lidwilli","no"
"720","Thoburnia rhothoeca","Thoburnia rhothoeca","Thoburnia rhothoeca","Thoburnia rhothoeca","Thoburnia rhothoeca","torrent sucker",2359064,154825,"accepted",1019280,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Thoburnia","Thoburnia rhothoeca","no"
"721","Moxostoma congestum","Moxostoma congestum","Moxostoma congestum","Moxostoma congestum","Moxostoma congestum","gray redhorse",2358988,418132,"accepted",1021624,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma congestum","no"
"722","Ichthyoelephas longirostris","Ichthyoelephas longirostris","Ichthyoelephas longirostris","Ichthyoelephas longirostris","Ichthyoelephas longirostris",NA,2352119,1577991,"accepted",1017930,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Ichthyoelephas","Ichthyoelephas longirostris","no"
"723","Ptilichthys goodei","Ptilichthys goodei","Ptilichthys goodei","Ptilichthys goodei","Ptilichthys goodei","quillfish",2390025,641289,"accepted",282508,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Ptilichthyidae","Ptilichthys","Ptilichthys goodei","yes"
"724","Malacocottus kincaidi","Malacocottus kincaidi","Malacocottus kincaidi","Malacocottus kincaidi","Malacocottus kincaidi","blackfin sculpin",2334873,433396,"accepted",279442,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Malacocottus","Malacocottus kincaidi","yes"
"725","Zesticelus bathybius","Zesticelus bathybius","Zesticelus bathybius","Zesticelus bathybius","Zesticelus bathybius",NA,2334259,1633456,"accepted",283216,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Zesticelus","Zesticelus bathybius","no"
"726","Eurymen gyrinus","Eurymen gyrinus","Eurymen gyrinus","Eurymen gyrinus","Eurymen gyrinus",NA,2334924,980413,"accepted",254565,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Eurymen","Eurymen gyrinus","yes"
"727","Erilepis zonifer","Erilepis zonifer","Erilepis zonifer","Erilepis zonifer","Erilepis zonifer",NA,2335057,270543,"accepted",280700,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Anoplopomatidae","Erilepis","Erilepis zonifer","yes"
"728","Pungitius sp. Brackish type",NA,"Pungitius sp. Brackish type",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Pungitius","Pungitius sp. Brackish type",NA
"729","Zesticelus ochotensis","Zesticelus ochotensis","Zesticelus ochotensis","Zesticelus ochotensis","Zesticelus ochotensis",NA,2334258,2810706,"accepted",283217,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Zesticelus","Zesticelus ochotensis","no"
"730","Anoplopoma fimbria","Anoplopoma fimbria","Anoplopoma fimbria","Anoplopoma fimbria","Anoplopoma fimbria","sablefish",2335062,229290,"accepted",159463,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","yes"
"731","Hexagrammos otakii","Hexagrammos otakii","Hexagrammos otakii","Hexagrammos otakii","Hexagrammos otakii","fat greenling",2336496,72450,"accepted",279411,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos otakii","no"
"732","Icelus sekii","Icelus sekii","Icelus sekii","Icelus sekii","Icelus sekii",NA,5201200,1633451,"accepted",274385,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Icelus","Icelus sekii","no"
"733","Dasycottus setiger","Dasycottus setiger","Dasycottus setiger","Dasycottus setiger","Dasycottus setiger","spinyhead sculpin",2334926,274783,"accepted",280488,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Psychrolutidae","Dasycottus","Dasycottus setiger","yes"
"734","Oxylebius pictus","Oxylebius pictus","Oxylebius pictus","Oxylebius pictus","Oxylebius pictus",NA,2336510,283620,"accepted",240743,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Hexagrammidae","Oxylebius","Oxylebius pictus","yes"
"735","Pontinus macrocephalus","Pontinus macrocephalus","Pontinus macrocephalus","Pontinus macrocephalus","Pontinus macrocephalus",NA,2334691,398654,"accepted",274689,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Pontinus","Pontinus macrocephalus","yes"
"736","Scorpaenodes guamensis","Scorpaenodes guamensis","Scorpaenodes guamensis","Scorpaenodes guamensis","Scorpaenodes guamensis","Guam scorpionfish",2334382,990641,"accepted",218094,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaenodes","Scorpaenodes guamensis","yes"
"737","Pontinus kuhlii","Pontinus kuhlii","Pontinus kuhlii","Pontinus kuhlii","Pontinus kuhlii",NA,2334700,107242,"accepted",127240,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Pontinus","Pontinus kuhlii","no"
"738","Scorpaenodes scaber","Scorpaenodes scaber","Scorpaenodes scaber","Scorpaenodes scaber","Scorpaenodes scaber","pygmy scorpionfish",2334366,274702,"accepted",218092,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Scorpaenodes","Scorpaenodes scaber","no"
"739","Apeltes quadracus","Apeltes quadracus","Apeltes quadracus","Apeltes quadracus","Apeltes quadracus","fourspine stickleback",5204681,240154,"accepted",159436,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","no"
"740","Pristipomoides typus","Pristipomoides typus","Pristipomoides typus","Pristipomoides typus","Pristipomoides typus","sharptooth jobfish",2385162,264210,"accepted",218507,"accepted",0,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Pristipomoides","Pristipomoides typus","no"
"741","Cephalopholis spiloparaea","Cephalopholis spiloparaea","Cephalopholis spiloparaea","Cephalopholis spiloparaea","Cephalopholis spiloparaea","strawberry hind",2388857,1146960,"accepted",218180,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis spiloparaea","no"
"742","Liopropoma erythraeum","Liopropoma erythraeum","Liopropoma erythraeum","Liopropoma erythraeum","Liopropoma erythraeum",NA,2387870,1522396,"accepted",275941,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Liopropoma","Liopropoma erythraeum","no"
"743","Cephalopholis aurantia","Cephalopholis aurantia","Cephalopholis aurantia","Cephalopholis aurantia","Cephalopholis aurantia","golden hind",2388858,1522394,"accepted",218177,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cephalopholis","Cephalopholis aurantia","no"
"744","Lateolabrax japonicus","Lateolabrax japonicus","Lateolabrax japonicus","Lateolabrax japonicus","Lateolabrax japonicus","suzuki",2392025,8164,"accepted",281275,"accepted",0,"Animalia","Chordata","Teleostei","Acropomatiformes","Lateolabracidae","Lateolabrax","Lateolabrax japonicus","no"
"745","Aulacocephalus temminckii","Aulacocephalus temminckii","Aulacocephalus temminckii","Aulacocephalus temminckii","Aulacocephalus temminckii","goldribbon soapfish",5210151,990936,"accepted",277111,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Aulacocephalus","Aulacocephalus temminckii","no"
"746","Stephanolepis hispida","Stephanolepis hispida","Stephanolepis hispidus","Stephanolepis hispidus","Stephanolepis hispidus","planehead filefish",5213455,349668,"accepted",307126,"unaccepted",0,"Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Stephanolepis","Stephanolepis hispida","no"
"747","Odontanthias borbonius","Odontanthias borbonius","Odontanthias borbonius","Odontanthias borbonius","Odontanthias borbonius","checked swallowtail",2389077,990613,"accepted",311418,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Odontanthias","Odontanthias borbonius","no"
"748","Notothenia coriiceps","Notothenia coriiceps","Notothenia coriiceps","Notothenia coriiceps","Notothenia coriiceps","black rockcod",8399273,8208,"accepted",234679,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Nototheniidae","Notothenia","Notothenia coriiceps","no"
"749","Anomalops katoptron","Anomalops katoptron","Anomalops katoptron","Anomalops katoptron","Anomalops katoptron","splitfin flashlightfish",5204701,181433,"accepted",279629,"accepted",0,"Animalia","Chordata","Teleostei","Trachichthyiformes","Anomalopidae","Anomalops","Anomalops katoptron","no"
"750","Epinephelus latifasciatus","Epinephelus latifasciatus","Epinephelus latifasciatus","Epinephelus latifasciatus","Epinephelus latifasciatus","striped grouper",2388552,306583,"accepted",218214,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Epinephelus latifasciatus","no"
"751","Iso hawaiiensis","Iso hawaiiensis","Iso hawaiiensis","Iso hawaiiensis","Iso hawaiiensis","Hawaiian surf sardine",2412054,492020,"accepted",276752,"accepted",0,"Animalia","Chordata","Teleostei","Atheriniformes","Isonidae","Iso","Iso hawaiiensis","yes"
"752","Phoxocampus belcheri","Phoxocampus belcheri","Phoxocampus belcheri","Phoxocampus belcheri","Phoxocampus belcheri",NA,2333360,1828464,"accepted",218031,"accepted",0,"Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Phoxocampus","Phoxocampus belcheri","no"
"753","Anyperodon leucogrammicus","Anyperodon leucogrammicus","Anyperodon leucogrammicus","Anyperodon leucogrammicus","Anyperodon leucogrammicus","slender grouper",2387816,160702,"accepted",212549,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Anyperodon","Anyperodon leucogrammicus","no"
"754","Polymixia sazonovi","Polymixia sazonovi","Polymixia sazonovi","Polymixia sazonovi","Polymixia sazonovi","Polymixia sazanovi Kotlyar, 1992",2410400,1828420,"accepted",274323,"accepted",0,"Animalia","Chordata","Teleostei","Polymixiiformes","Polymixiidae","Polymixia","Polymixia sazonovi","no"
"755","Remora albescens","Remora albescens","Remorina albescens","Remorina albescens","Remorina albescens","white suckerfish",2375252,641296,"synonym",302877,"unaccepted",0,"Animalia","Chordata","Teleostei","Carangiformes","Echeneidae","Remorina","Remora albescens","yes"
"756","Chaenomugil proboscideus","Chaenomugil proboscideus","Chaenomugil proboscideus","Chaenomugil proboscideus","Chaenomugil proboscideus","snouted mullet",2400883,1040949,"accepted",280101,"accepted",0,"Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Chaenomugil","Chaenomugil proboscideus","yes"
"757","Polymixia japonica","Polymixia japonica","Polymixia japonica","Polymixia japonica","Polymixia japonica","silver eye",2410401,81385,"accepted",274320,"accepted",0,"Animalia","Chordata","Teleostei","Polymixiiformes","Polymixiidae","Polymixia","Polymixia japonica","yes"
"758","Neosebastes multisquamus","Neosebastes multisquamus","Neosebastes multisquamus","Neosebastes multisquamus","Neosebastes multisquamus","Ogasawara gurnard",2337295,1809193,"accepted",281712,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Neosebastidae","Neosebastes","Neosebastes multisquamus","no"
"759","Pristipomoides multidens","Pristipomoides multidens","Pristipomoides multidens","Pristipomoides multidens","Pristipomoides multidens","goldbanded jobfish",2385170,106585,"accepted",218513,"accepted",0,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Pristipomoides","Pristipomoides multidens","no"
"760","Gastromyzon zebrinus","Gastromyzon zebrinus","Gastromyzon zebrinus","Gastromyzon zebrinus","Gastromyzon zebrinus",NA,2358883,643471,"accepted",1008890,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Gastromyzon","Gastromyzon zebrinus","no"
"761","Pseudorhombus dupliciocellatus","Pseudorhombus dupliciocellatus","Pseudorhombus dupliciocellatus","Pseudorhombus dupliciocellatus","Pseudorhombus dupliciocellatus","ocellated flounder",2408837,367197,"accepted",277078,"accepted",0,"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Pseudorhombus","Pseudorhombus dupliciocellatus","no"
"762","Antigonia rubescens","Antigonia rubescens","Antigonia rubescens","Antigonia rubescens","Antigonia rubescens","Indo-Pacific boarfish",2389684,990554,"accepted",217962,"accepted",0,"Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","Antigonia rubescens","no"
"763","Antigonia capros","Antigonia capros","Antigonia capros","Antigonia capros","Antigonia capros","deepbody boarfish",2389693,143339,"accepted",127418,"accepted",0,"Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","Antigonia capros","yes"
"764","Percina freemanorum","Percina freemanorum","Percina freemanorum","Percina freemanorum","Percina freemanorum","Etowah bridled darter",11193902,2827212,"accepted",1536455,"accepted",1,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Percina","Percina freemanorum","no"
"765","Mugil curema","Mugil curema","Mugil curema","Mugil curema","Mugil curema","white mullet",2400641,48194,"accepted",159416,"accepted",0,"Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Mugil","Mugil curema","yes"
"766","Antigonia steindachneri",NA,"Antigonia steindachneri","Antigonia steindachneri","Antigonia steindachneri","deepbody boarfish",2389695,1156085,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","Antigonia steindachneri","no"
"767","Mastacembelus mastacembelus","Mastacembelus mastacembelus","Mastacembelus mastacembelus","Mastacembelus mastacembelus","Mastacembelus mastacembelus",NA,2351829,696209,"accepted",1022996,"accepted",1,"Animalia","Chordata","Teleostei","Synbranchiformes","Mastacembelidae","Mastacembelus","Mastacembelus mastacembelus","no"
"768","Peristedion miniatum","Peristedion miniatum","Peristedion miniatum","Peristedion miniatum","Peristedion miniatum","armored searobin",2335006,245694,"accepted",159550,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Peristedion","Peristedion miniatum","no"
"769","Artedius fenestralis","Artedius fenestralis","Artedius fenestralis","Artedius fenestralis","Artedius fenestralis","padded sculpin",2333969,274758,"accepted",279700,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artedius","Artedius fenestralis","yes"
"770","Artedius lateralis","Artedius lateralis","Artedius lateralis","Artedius lateralis","Artedius lateralis","smoothhead sculpin",2333966,322683,"accepted",279702,"accepted",0,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artedius","Artedius lateralis","yes"
"771","Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus","Hypomesus pretiosus",NA,2410871,300346,"accepted",279422,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus","yes"
"772","Periophthalmus minutus","Periophthalmus minutus","Periophthalmus minutus","Periophthalmus minutus","Periophthalmus minutus","minute mudskipper",2376995,1581706,"accepted",277977,"accepted",0,"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Periophthalmus","Periophthalmus minutus","no"
"773","Dysalotus oligoscolus","Dysalotus oligoscolus","Dysalotus oligoscolus","Dysalotus oligoscolus","Dysalotus oligoscolus",NA,2394707,2578276,"accepted",276360,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Chiasmodontidae","Dysalotus","Dysalotus oligoscolus","yes"
"774","Allosmerus elongatus","Allosmerus elongatus","Allosmerus elongatus","Allosmerus elongatus","Allosmerus elongatus","whitebait smelt",2410865,433393,"accepted",279564,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","yes"
"775","Opistognathus sp. BSKU:121417",NA,"Opistognathus sp. BSKU:121417",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus sp. BSKU:121417",NA
"776","Salangichthys microdon","Salangichthys microdon","Salangichthys microdon","Salangichthys microdon","Salangichthys microdon","Japanese icefish",2411008,137522,"accepted",282650,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Salangidae","Salangichthys","Salangichthys microdon","no"
"777","Hypomesus japonicus","Hypomesus japonicus","Hypomesus japonicus","Hypomesus japonicus","Hypomesus japonicus",NA,2410869,203539,"accepted",279420,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus japonicus","no"
"778","Osmerus eperlanus","Osmerus eperlanus","Osmerus eperlanus","Osmerus eperlanus","Osmerus eperlanus","European smelt",2410854,29151,"accepted",126736,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus eperlanus","yes"
"779","Scomberomorus niphonius","Scomberomorus niphonius","Scomberomorus niphonius","Scomberomorus niphonius","Scomberomorus niphonius","Japanese Spanish mackerel",2374296,321164,"accepted",273817,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomberomorus","Scomberomorus niphonius","no"
"780","Hypomesus olidus","Hypomesus olidus","Hypomesus olidus","Hypomesus olidus","Hypomesus olidus",NA,2410880,240830,"accepted",254556,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus olidus","yes"
"781","Osmerus mordax","Osmerus mordax","Osmerus mordax","Osmerus mordax","Osmerus mordax","rainbow smelt",4283983,8014,"accepted",126737,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","yes"
"782","Spirinchus lanceolatus","Spirinchus lanceolatus","Spirinchus lanceolatus","Spirinchus lanceolatus","Spirinchus lanceolatus",NA,2410895,136040,"accepted",282842,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Spirinchus","Spirinchus lanceolatus","no"
"783","Spirinchus thaleichthys","Spirinchus thaleichthys","Spirinchus thaleichthys","Spirinchus thaleichthys","Spirinchus thaleichthys","longfin smelt",2410897,260508,"accepted",282844,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Spirinchus","Spirinchus thaleichthys","yes"
"784","Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus","Thaleichthys pacificus","eulachon",2410903,240832,"accepted",282959,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus","yes"
"785","Hypomesus nipponensis","Hypomesus nipponensis","Hypomesus nipponensis","Hypomesus nipponensis","Hypomesus nipponensis","Japanese smelt",2410890,182223,"accepted",279421,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Hypomesus","Hypomesus nipponensis","yes"
"786","Opistognathus iyonis","Opistognathus iyonis","Opistognathus iyonis","Opistognathus iyonis","Opistognathus iyonis",NA,2391841,2012938,"accepted",276457,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus iyonis","no"
"787","Salanx chinensis","Salanx chinensis","Salanx chinensis","Salanx chinensis","Salanx chinensis",NA,2411000,350768,"accepted",315539,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Salangidae","Salanx","Salanx chinensis","no"
"788","Opistognathus jacksoniensis","Opistognathus jacksoniensis","Opistognathus jacksoniensis","Opistognathus jacksoniensis","Opistognathus jacksoniensis","southern smiler",2391849,1040945,"accepted",276458,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus jacksoniensis","no"
"789","Plecoglossus altivelis ryukyuensis",NA,"Plecoglossus altivelis ryukyuensis","Plecoglossus altivelis ryukyuensis","Plecoglossus altivelis ryukyuensis",NA,6169874,281465,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Osmeriformes","Plecoglossidae","Plecoglossus","Plecoglossus altivelis ryukyuensis","no"
"790","Pseudogobius poicilosoma","Pseudogobius poicilosoma","Pseudogobius javanicus","Pseudogobius javanicus","Pseudogobius javanicus","spotfin snouted goby",2375911,1302786,"accepted",282429,"unaccepted",0,"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pseudogobius","Pseudogobius poicilosoma","no"
"791","Osmerus dentex","Osmerus dentex","Osmerus mordax dentex","Osmerus mordax dentex","Osmerus mordax dentex","Arctic rainbow smelt",6169860,476919,"synonym",254557,"unaccepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus dentex","yes"
"792","Neosalangichthys ishikawae","Neosalangichthys ishikawae","Neosalangichthys ishikawae","Neosalangichthys ishikawae","Neosalangichthys ishikawae",NA,8246982,2905919,"accepted",1017446,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Salangidae","Neosalangichthys","Neosalangichthys ishikawae","no"
"793","Plecoglossus altivelis altivelis",NA,"Plecoglossus altivelis altivelis","Plecoglossus altivelis altivelis","Plecoglossus altivelis altivelis",NA,7193754,281464,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Osmeriformes","Plecoglossidae","Plecoglossus","Plecoglossus altivelis altivelis","no"
"794","Plecoglossus altivelis","Plecoglossus altivelis","Plecoglossus altivelis","Plecoglossus altivelis","Plecoglossus altivelis","ayu",4283980,61084,"accepted",293715,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Plecoglossidae","Plecoglossus","Plecoglossus altivelis","no"
"795","Opistognathus evermanni","Opistognathus evermanni","Opistognathus evermanni","Opistognathus evermanni","Opistognathus evermanni",NA,2391786,270591,"accepted",276449,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus evermanni","no"
"796","Opistognathus decorus","Opistognathus decorus","Opistognathus decorus","Opistognathus decorus","Opistognathus decorus","tattoo jawfish",2391844,1522406,"accepted",276447,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus decorus","no"
"797","Salanx ariakensis","Salanx ariakensis","Salanx ariakensis","Salanx ariakensis","Salanx ariakensis",NA,2410990,221867,"accepted",282651,"accepted",0,"Animalia","Chordata","Teleostei","Osmeriformes","Salangidae","Salanx","Salanx ariakensis","no"
"798","Opistognathus hopkinsi","Opistognathus hopkinsi","Opistognathus hopkinsi","Opistognathus hopkinsi","Opistognathus hopkinsi","ago-amadai",2391809,2057050,"accepted",276455,"accepted",0,"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Opistognathidae","Opistognathus","Opistognathus hopkinsi","no"
