"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"24","Liniparhomaloptera disparis","Liniparhomaloptera disparis","Liniparhomaloptera disparis disparis","Liniparhomaloptera disparis disparis","Liniparhomaloptera disparis disparis",NA,6167708,241465,"synonym",293622,"unaccepted",0,"Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Liniparhomaloptera","Liniparhomaloptera disparis","no"
"25","Prochilodus vimboides","Prochilodus vimboides","Prochilodus vimboides","Prochilodus vimboides","Prochilodus vimboides",NA,2352171,1836194,"accepted",1018422,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Prochilodus","Prochilodus vimboides","no"
"26","Semaprochilodus sp. CBM:ZF:13710",NA,"Semaprochilodus sp. CBM:ZF:13710",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus","Semaprochilodus sp. CBM:ZF:13710",NA
"27","Semaprochilodus insignis","Semaprochilodus insignis","Semaprochilodus insignis","Semaprochilodus insignis","Semaprochilodus insignis",NA,2352126,642563,"accepted",1018426,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus","Semaprochilodus insignis","no"
"28","Copella arnoldi","Copella arnoldi","Copella arnoldi","Copella arnoldi","Copella arnoldi","splash tetra",2355707,1633426,"accepted",1017646,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Lebiasinidae","Copella","Copella arnoldi","no"
"29","Yunnanilus longibarbatus","Yunnanilus longibarbatus","Yunnanilus longibarbatus","Yunnanilus longibarbatus","Yunnanilus longibarbatus",NA,2358265,2849534,"accepted",1008656,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Yunnanilus","Yunnanilus longibarbatus","no"
"30","Semaprochilodus sp. CBM:ZF:12566",NA,"Semaprochilodus sp. CBM:ZF:12566",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus","Semaprochilodus sp. CBM:ZF:12566",NA
"31","Pseudogastromyzon fangi","Pseudogastromyzon fangi","Pseudogastromyzon fangi","Pseudogastromyzon fangi","Pseudogastromyzon fangi",NA,2357499,369687,"accepted",1015801,"accepted",1,"Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Pseudogastromyzon","Pseudogastromyzon fangi","no"
"32","Piaractus brachypomus","Piaractus brachypomus","Piaractus brachypomus","Piaractus brachypomus","Piaractus brachypomus","pirapitinga",2353225,42529,"accepted",1022721,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus","Piaractus brachypomus","no"
"33","Seriolella porosa","Seriolella porosa","Seriolella porosa","Seriolella porosa","Seriolella porosa","choicy ruff",2398111,458610,"accepted",282757,"accepted",0,"Animalia","Chordata","Teleostei","Scombriformes","Centrolophidae","Seriolella","Seriolella porosa","no"
"34","Piaractus mesopotamicus","Piaractus mesopotamicus","Piaractus mesopotamicus","Piaractus mesopotamicus","Piaractus mesopotamicus","pacu",2353219,42528,"accepted",1019322,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus","Piaractus mesopotamicus","no"
"35","Colossoma macropomum","Colossoma macropomum","Colossoma macropomum","Colossoma macropomum","Colossoma macropomum","tambaqui",2353152,42526,"accepted",1020122,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Colossoma","Colossoma macropomum","no"
"36","Piaractus sp. HC-2014",NA,"Piaractus sp. HC-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus","Piaractus sp. HC-2014",NA
"37","Geophagus brasiliensis","Geophagus brasiliensis","Geophagus brasiliensis","Geophagus brasiliensis","Geophagus brasiliensis","pearl cichlid",7769592,81339,"accepted",280831,"accepted",0,"Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Geophagus","Geophagus brasiliensis","no"
"38","Pygocentrus nattereri","Pygocentrus nattereri","Pygocentrus nattereri","Pygocentrus nattereri","Pygocentrus nattereri","red-bellied piranha",2352479,42514,"accepted",1018170,"accepted",1,"Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Pygocentrus","Pygocentrus nattereri","no"
