"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"1007","Hemilepidotus gilberti","Hemilepidotus gilberti","species","ACCEPTED","Hemilepidotus gilberti","Hemilepidotus+gilberti","Hemilepidotus gilberti",254520,254520,"Hemilepidotus gilberti","accepted",NA,"Jordan & Starks, 1904","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Hemilepidotus",0,0,"Hemilepidotus gilberti","no"
"1008","Hemilepidotus zapus","Hemilepidotus zapus","species","ACCEPTED","Hemilepidotus zapus","Hemilepidotus+zapus","Hemilepidotus zapus",279414,279414,"Hemilepidotus zapus","accepted",NA,"Gilbert & Burke, 1912","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Hemilepidotus",0,0,"Hemilepidotus zapus","yes"
"1009","Nautichthys pribilovius","Nautichthys pribilovius","species","ACCEPTED","Nautichthys pribilovius","Nautichthys+pribilovius","Nautichthys pribilovius",254543,254543,"Nautichthys pribilovius","accepted",NA,"(Jordan & Gilbert, 1898)","Animalia","Chordata","Teleostei","Perciformes","Hemitripteridae","Nautichthys",0,0,"Nautichthys pribilovius","yes"
"1010","Ereunias cf. grallator MM-2016","Ereunias grallator","species","ACCEPTED","Ereunias grallator","Ereunias+grallator","Ereunias grallator",280697,280697,"Ereunias grallator","accepted",NA,"Jordan & Snyder, 1901","Animalia","Chordata","Teleostei","Perciformes","Ereuniidae","Ereunias",0,0,"Ereunias grallator","no"
"1011","Cymatogaster aggregata","Cymatogaster aggregata","species","ACCEPTED","Cymatogaster aggregata","Cymatogaster+aggregata","Cymatogaster aggregata",280461,280461,"Cymatogaster aggregata","accepted",NA,"Gibbons, 1854","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster",0,0,"Cymatogaster aggregata","yes"
"1012","Phanerodon vacca","Phanerodon vacca","species","SYNONYM","Phanerodon vacca","Phanerodon+vacca","Phanerodon vacca",1577347,1577347,"Phanerodon vacca","accepted",NA,"(Girard, 1855)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Phanerodon",0,0,"Phanerodon vacca","yes"
"1013","Embiotoca lateralis","Embiotoca lateralis","species","ACCEPTED","Embiotoca lateralis","Embiotoca+lateralis","Embiotoca lateralis",240740,240740,"Embiotoca lateralis","accepted",NA,"Agassiz, 1854","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca",0,0,"Embiotoca lateralis","yes"
"1014","Phanerodon furcatus","Phanerodon furcatus","species","ACCEPTED","Phanerodon furcatus","Phanerodon+furcatus","Phanerodon furcatus",240730,240730,"Phanerodon furcatus","accepted",NA,"Girard, 1854","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Phanerodon",0,0,"Phanerodon furcatus","yes"
"1015","Zalembius rosaceus","Zalembius rosaceus","species","ACCEPTED","Zalembius rosaceus","Zalembius+rosaceus","Zalembius rosaceus",283202,283202,"Zalembius rosaceus","accepted",NA,"(Jordan & Gilbert, 1880)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Zalembius",0,0,"Zalembius rosaceus","yes"
"1016","Embiotoca jacksoni","Embiotoca jacksoni","species","ACCEPTED","Embiotoca jacksoni","Embiotoca+jacksoni","Embiotoca jacksoni",240746,240746,"Embiotoca jacksoni","accepted",NA,"Agassiz, 1853","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca",0,0,"Embiotoca jacksoni","yes"
"1017","Brachyistius frenatus","Brachyistius frenatus","species","ACCEPTED","Brachyistius frenatus","Brachyistius+frenatus","Brachyistius frenatus",240721,240721,"Brachyistius frenatus","accepted",NA,"Gill, 1862","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Brachyistius",0,0,"Brachyistius frenatus","yes"
"1018","Ditrema viride","Ditrema viride","species","ACCEPTED","Ditrema viride","Ditrema+viride","Ditrema viride",280571,280571,"Ditrema viride","accepted",NA,"Oshima, 1940","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Ditrema",0,0,"Ditrema viride","no"
"1019","Ditrema temminckii temminckii","Ditrema temminckii temminckii","subspecies","ACCEPTED","Ditrema temminckii temminckii","Ditrema+temminckii+temminckii","Ditrema temminckii",280570,712926,"Ditrema temminckii temminckii","unaccepted",NA,"Bleeker, 1853","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Ditrema",0,0,"Ditrema temminckii","no"
"1020","Ditrema temminckii","Ditrema temminckii","species","ACCEPTED","Ditrema temminckii","Ditrema+temminckii","Ditrema temminckii",280570,280570,"Ditrema temminckii","accepted",NA,"Bleeker, 1853","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Ditrema",0,0,"Ditrema temminckii","no"
"1021","Ditrema temminckii pacificum","Ditrema temminckii pacificum","subspecies","ACCEPTED","Ditrema temminckii pacificum","Ditrema+temminckii+pacificum","Ditrema temminckii",280570,398706,"Ditrema temminckii pacificum","unaccepted",NA,"Bleeker, 1853","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Ditrema",0,0,"Ditrema temminckii","no"
"1022","Ditrema jordani","Ditrema jordani","species","ACCEPTED","Ditrema jordani","Ditrema+jordani","Ditrema jordani",314282,314282,"Ditrema jordani","accepted",NA,"Franz, 1910","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Ditrema",0,0,"Ditrema jordani","no"
"1023","Neoditrema ransonnetii","Neoditrema ransonnetii","species","ACCEPTED","Neoditrema ransonnetii","Neoditrema+ransonnetii","Neoditrema ransonnetii",281688,281688,"Neoditrema ransonnetii","accepted",NA,"Steindachner, 1883","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Neoditrema",0,0,"Neoditrema ransonnetii","no"
"1024","Amphistichus rhodoterus","Amphistichus rhodoterus","species","ACCEPTED","Amphistichus rhodoterus","Amphistichus+rhodoterus","Amphistichus rhodoterus",279596,279596,"Amphistichus rhodoterus","accepted",NA,"(Agassiz, 1854)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus",0,0,"Amphistichus rhodoterus","yes"
"1025","Amphistichus argenteus","Amphistichus argenteus","species","ACCEPTED","Amphistichus argenteus","Amphistichus+argenteus","Amphistichus argenteus",279594,279594,"Amphistichus argenteus","accepted",NA,"Agassiz, 1854","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Amphistichus",0,0,"Amphistichus argenteus","yes"
"1026","Micrometrus minimus","Micrometrus minimus","species","ACCEPTED","Micrometrus minimus","Micrometrus+minimus","Micrometrus minimus",281562,281562,"Micrometrus minimus","accepted",NA,"(Gibbons, 1854)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Micrometrus",0,0,"Micrometrus minimus","yes"
"1027","Hyperprosopon ellipticum","Hyperprosopon ellipticum","species","ACCEPTED","Hyperprosopon ellipticum","Hyperprosopon+ellipticum","Hyperprosopon ellipticum",281099,281099,"Hyperprosopon ellipticum","accepted",NA,"(Gibbons, 1854)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon",0,0,"Hyperprosopon ellipticum","yes"
"1028","Hyperprosopon argenteum","Hyperprosopon argenteum","species","ACCEPTED","Hyperprosopon argenteum","Hyperprosopon+argenteum","Hyperprosopon argenteum",281098,281098,"Hyperprosopon argenteum","accepted",NA,"Gibbons, 1854","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon",0,0,"Hyperprosopon argenteum","yes"
"1029","Hyperprosopon anale","Hyperprosopon anale","species","ACCEPTED","Hyperprosopon anale","Hyperprosopon+anale","Hyperprosopon anale",281097,281097,"Hyperprosopon anale","accepted",NA,"Agassiz, 1861","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Hyperprosopon",0,0,"Hyperprosopon anale","yes"
"1030","Plectroglyphidodon obreptus","Plectroglyphidodon obreptus","species","SYNONYM","Plectroglyphidodon obreptus","Plectroglyphidodon+obreptus","Plectroglyphidodon obreptus",1605254,1605254,"Plectroglyphidodon obreptus","accepted",NA,"(Whitley, 1948)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Plectroglyphidodon",0,0,"Plectroglyphidodon obreptus","no"
"1031","Plectroglyphidodon apicalis","Plectroglyphidodon apicalis","species","SYNONYM","Plectroglyphidodon apicalis","Plectroglyphidodon+apicalis","Plectroglyphidodon apicalis",1605251,1605251,"Plectroglyphidodon apicalis","accepted",NA,"(De Vis, 1885)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Plectroglyphidodon",0,0,"Plectroglyphidodon apicalis","no"
"1032","Siganus punctatissimus","Siganus punctatissimus","species","ACCEPTED","Siganus punctatissimus","Siganus+punctatissimus","Siganus punctatissimus",273921,273921,"Siganus punctatissimus","accepted",NA,"Fowler & Bean, 1929","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus",0,0,"Siganus punctatissimus","no"
"1033","Lepidotrigla microptera","Lepidotrigla microptera","species","ACCEPTED","Lepidotrigla microptera","Lepidotrigla+microptera","Lepidotrigla microptera",274905,274905,"Lepidotrigla microptera","accepted",NA,"Günther, 1873","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla",0,0,"Lepidotrigla microptera","yes"
"1034","Strongylura notata","Strongylura notata","species","ACCEPTED","Strongylura notata","Strongylura+notata","Strongylura notata",293747,293747,"Strongylura notata","accepted",NA,"(Poey, 1860)","Animalia","Chordata","Teleostei","Beloniformes","Belonidae","Strongylura",0,0,"Strongylura notata","no"
"1035","Nealotus tripes","Nealotus tripes","species","ACCEPTED","Nealotus tripes","Nealotus+tripes","Nealotus tripes",126864,126864,"Nealotus tripes","accepted",NA,"Johnson, 1865","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Nealotus",0,0,"Nealotus tripes","yes"
"1036","Ophidiiformes sp. RGIP_6980",NA,NA,NA,"Ophidiiformes sp. RGIP_6980","Ophidiiformes+sp.+RGIP_6980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ophidiiformes sp. RGIP_6980","no"
"1037","Zenion hololepis","Zenion hololepis","species","ACCEPTED","Zenion hololepis","Zenion+hololepis","Zenion hololepis",127421,127421,"Zenion hololepis","accepted",NA,"(Goode & Bean, 1896)","Animalia","Chordata","Teleostei","Zeiformes","Zeniontidae","Zenion",0,0,"Zenion hololepis","yes"
"1038","Lagocephalus lagocephalus","Lagocephalus lagocephalus","species","ACCEPTED","Lagocephalus lagocephalus","Lagocephalus+lagocephalus","Lagocephalus lagocephalus",127414,127414,"Lagocephalus lagocephalus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Lagocephalus",0,0,"Lagocephalus lagocephalus","yes"
"1039","Zenion japonicum","Zenion japonicum","species","ACCEPTED","Zenion japonicum","Zenion+japonicum","Zenion japonicum",275298,275298,"Zenion japonicum","accepted",NA,"Kamohara, 1934","Animalia","Chordata","Teleostei","Zeiformes","Zeniontidae","Zenion",0,0,"Zenion japonicum","no"
"1040","Dario dayingensis","Dario dayingensis","species","ACCEPTED","Dario dayingensis","Dario+dayingensis","Dario dayingensis",1009827,1009827,"Dario dayingensis","accepted",NA,"Kullander & Britz, 2002","Animalia","Chordata","Teleostei","Anabantiformes","Badidae","Dario",1,0,"Dario dayingensis","no"
"1041","Notothenia rossii","Notothenia rossii","species","ACCEPTED","Notothenia rossii","Notothenia+rossii","Notothenia rossii",234840,234840,"Notothenia rossii","accepted",NA,"Richardson, 1844","Animalia","Chordata","Teleostei","Perciformes","Nototheniidae","Notothenia",0,0,"Notothenia rossii","no"
"1042","Squalogadus modificatus","Squalogadus modificatus","species","ACCEPTED","Squalogadus modificatus","Squalogadus+modificatus","Squalogadus modificatus",221514,221514,"Squalogadus modificatus","accepted",NA,"Gilbert & Hubbs, 1916","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Squalogadus",0,0,"Squalogadus modificatus","yes"
"1043","Paradiplospinus antarcticus","Paradiplospinus antarcticus","species","ACCEPTED","Paradiplospinus antarcticus","Paradiplospinus+antarcticus","Paradiplospinus antarcticus",234697,234697,"Paradiplospinus antarcticus","accepted",NA,"Andriashev, 1960","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Paradiplospinus",0,0,"Paradiplospinus antarcticus","no"
"1044","Lethrinus genivittatus","Lethrinus genivittatus","species","ACCEPTED","Lethrinus genivittatus","Lethrinus+genivittatus","Lethrinus genivittatus",212078,212078,"Lethrinus genivittatus","accepted",NA,"Valenciennes, 1830","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus",0,0,"Lethrinus genivittatus","no"
"1045","Trachyrincus murrayi","Trachyrincus murrayi","species","ACCEPTED","Trachyrincus murrayi","Trachyrincus+murrayi","Trachyrincus murrayi",126481,126481,"Trachyrincus murrayi","accepted",NA,"Günther, 1887","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Trachyrincus",0,0,"Trachyrincus murrayi","no"
"1046","Latropiscis purpurissatus","Latropiscis purpurissatus","species","ACCEPTED","Latropiscis purpurissatus","Latropiscis+purpurissatus","Latropiscis purpurissatus",318742,318742,"Latropiscis purpurissatus","accepted",NA,"(Richardson, 1843)","Animalia","Chordata","Teleostei","Aulopiformes","Aulopidae","Latropiscis",0,0,"Latropiscis purpurissatus","no"
"1047","Alburnus alburnus","Alburnus alburnus","species","ACCEPTED","Alburnus alburnus","Alburnus+alburnus","Alburnus alburnus",154285,154285,"Alburnus alburnus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Alburnus",0,0,"Alburnus alburnus","no"
"1048","Phoxinus phoxinus","Phoxinus phoxinus","species","ACCEPTED","Phoxinus phoxinus","Phoxinus+phoxinus","Phoxinus phoxinus",154326,154326,"Phoxinus phoxinus","accepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",0,0,"Phoxinus phoxinus","no"
"1049","Phoxinus fayollarum","Phoxinus fayollarum","species","ACCEPTED","Phoxinus fayollarum","Phoxinus+fayollarum","Phoxinus fayollarum",1493995,1493995,"Phoxinus fayollarum","accepted",NA,"Denys, Dettaï, Persat, Daszkiewicz, Hautecoeur & Keith, 2020","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",0,0,"Phoxinus fayollarum","no"
"1050","Phoxinus sp. UAIC 14401.01",NA,NA,NA,"Phoxinus sp. UAIC 14401.01","Phoxinus+sp.+UAIC+14401.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phoxinus sp. UAIC 14401.01","no"
"1051","Phoxinus phoxinus tumensis","Phoxinus phoxinus tumensis","subspecies","ACCEPTED","Phoxinus phoxinus tumensis","Phoxinus+phoxinus+tumensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phoxinus phoxinus tumensis","no"
"1052","Phoxinus bigerri","Phoxinus bigerri","species","ACCEPTED","Phoxinus bigerri","Phoxinus+bigerri","Phoxinus bigerri",1008632,1008632,"Phoxinus bigerri","accepted",NA,"Kottelat, 2007","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",1,0,"Phoxinus bigerri","no"
"1053","Phoxinus ujmonensis","Phoxinus ujmonensis","species","ACCEPTED","Phoxinus ujmonensis","Phoxinus+ujmonensis","Phoxinus ujmonensis",1019041,1019041,"Phoxinus ujmonensis","accepted",NA,"Kaschenko, 1899","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",1,0,"Phoxinus ujmonensis","no"
"1054","Phoxinus septimaniae","Phoxinus septimaniae","species","ACCEPTED","Phoxinus septimaniae","Phoxinus+septimaniae","Phoxinus septimaniae",1008633,1008633,"Phoxinus septimaniae","accepted",NA,"Kottelat, 2007","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",1,0,"Phoxinus septimaniae","no"
"1055","Phoxinus dragarum","Phoxinus dragarum","species","ACCEPTED","Phoxinus dragarum","Phoxinus+dragarum","Phoxinus dragarum",1493994,1493994,"Phoxinus dragarum","accepted",NA,"Denys, Dettaï, Persat, Daszkiewicz, Hautecoeur & Keith, 2020","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",0,0,"Phoxinus dragarum","no"
"1056","Phoxinus csikii","Phoxinus csikii","species","SYNONYM","Phoxinus csikii","Phoxinus+csikii","Phoxinus phoxinus",154326,307930,"Phoxinus csikii","unaccepted",NA,"(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",0,0,"Phoxinus phoxinus","no"
"1057","Rhynchocypris percnurus","Rhynchocypris percnurus","species","ACCEPTED","Rhynchocypris percnurus","Rhynchocypris+percnurus","Rhynchocypris percnura",1026590,1621466,"Rhynchocypris percnurus","misspelling",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhynchocypris",1,0,"Rhynchocypris percnura","no"
"1058","Rhynchocypris oxycephalus","Rhynchocypris oxycephalus","species","ACCEPTED","Rhynchocypris oxycephalus","Rhynchocypris+oxycephalus","Rhynchocypris oxycephala",1019045,1621454,"Rhynchocypris oxycephalus","misspelling",NA,"(Sauvage & Dabry de Thiersant, 1874)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhynchocypris",1,0,"Rhynchocypris oxycephala","no"
"1059","Siphateles boraxobius","Siphateles boraxobius","species","ACCEPTED","Siphateles boraxobius","Siphateles+boraxobius","Siphateles boraxobius",1012465,1012465,"Siphateles boraxobius","accepted",NA,"(Williams & Bond, 1980)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Siphateles",1,0,"Siphateles boraxobius","no"
"1060","Rhynchocypris percnurus sachalinensis","Rhynchocypris percnurus sachalinensis","subspecies","ACCEPTED","Rhynchocypris percnurus sachalinensis","Rhynchocypris+percnurus+sachalinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchocypris percnurus sachalinensis","no"
"1061","Siphateles alvordensis","Siphateles alvordensis","species","ACCEPTED","Siphateles alvordensis","Siphateles+alvordensis","Siphateles alvordensis",1013115,1013115,"Siphateles alvordensis","accepted",NA,"(Hubbs & Miller, 1972)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Siphateles",1,0,"Siphateles alvordensis","no"
"1062","Clinostomus elongatus","Clinostomus elongatus","species","ACCEPTED","Clinostomus elongatus","Clinostomus+elongatus","Clinostomus elongatus",1020946,1020946,"Clinostomus elongatus","accepted",NA,"(Kirtland, 1840)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Clinostomus",1,0,"Clinostomus elongatus","no"
"1063","Lavinia exilicauda","Lavinia exilicauda","species","ACCEPTED","Lavinia exilicauda","Lavinia+exilicauda","Lavinia exilicauda",1017386,1017386,"Lavinia exilicauda","accepted",NA,"Baird & Girard, 1854","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Lavinia",1,0,"Lavinia exilicauda","no"
"1064","Rhinichthys cataractae","Rhinichthys cataractae","species","ACCEPTED","Rhinichthys cataractae","Rhinichthys+cataractae","Rhinichthys cataractae",567547,567547,"Rhinichthys cataractae","accepted",NA,"(Valenciennes, 1842)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys",1,0,"Rhinichthys cataractae","no"
"1065","Rhinichthys osculus","Rhinichthys osculus","species","ACCEPTED","Rhinichthys osculus","Rhinichthys+osculus","Rhinichthys osculus",592846,592846,"Rhinichthys osculus","accepted",NA,"(Girard, 1856)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys",1,0,"Rhinichthys osculus","no"
"1066","Chrosomus erythrogaster","Chrosomus erythrogaster","species","ACCEPTED","Chrosomus erythrogaster","Chrosomus+erythrogaster","Chrosomus erythrogaster",1020289,1020289,"Chrosomus erythrogaster","accepted",NA,"(Rafinesque, 1820)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chrosomus",1,0,"Chrosomus erythrogaster","no"
"1067","Rhynchocypris jouyi",NA,NA,NA,"Rhynchocypris jouyi","Rhynchocypris+jouyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchocypris jouyi","no"
"1068","Chrosomus eos","Chrosomus eos","species","ACCEPTED","Chrosomus eos","Chrosomus+eos","Chrosomus eos",567541,567541,"Chrosomus eos","accepted",NA,"Cope, 1861","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chrosomus",1,0,"Chrosomus eos","no"
"1069","Rhinichthys umatilla","Rhinichthys umatilla","species","ACCEPTED","Rhinichthys umatilla","Rhinichthys+umatilla","Rhinichthys umatilla",592849,592849,"Rhinichthys umatilla","accepted",NA,"(Gilbert & Evermann, 1894)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys",1,0,"Rhinichthys umatilla","no"
"1070","Clinostomus funduloides","Clinostomus funduloides","species","ACCEPTED","Clinostomus funduloides","Clinostomus+funduloides","Clinostomus funduloides",1020304,1020304,"Clinostomus funduloides","accepted",NA,"Girard, 1856","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Clinostomus",1,0,"Clinostomus funduloides","no"
"1071","Erimystax x-punctatus","Erimystax x-punctatus","species","ACCEPTED","Erimystax x-punctatus","Erimystax+x-punctatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erimystax x-punctatus","no"
"1072","Tribolodon sachalinensis","Tribolodon sachalinensis","species","ACCEPTED","Tribolodon sachalinensis","Tribolodon+sachalinensis","Pseudaspius sachalinensis",1572046,712437,"Tribolodon sachalinensis","junior objective synonym",NA,"(Nikolskii, 1889)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tribolodon",0,0,"Pseudaspius sachalinensis","no"
"1073","Tribolodon brandtii maruta","Tribolodon brandtii maruta","subspecies","SYNONYM","Tribolodon brandtii maruta","Tribolodon+brandtii+maruta","Pseudaspius brandtii",1534979,1529112,"Tribolodon brandtii maruta","unaccepted",NA,"(Dybowski, 1872)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tribolodon",0,0,"Pseudaspius brandtii","no"
"1074","Siphateles bicolor mohavensis","Siphateles bicolor mohavensis","subspecies","ACCEPTED","Siphateles bicolor mohavensis","Siphateles+bicolor+mohavensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphateles bicolor mohavensis","no"
"1075","Pachychilon pictum","Pachychilon pictum","species","ACCEPTED","Pachychilon pictum","Pachychilon+pictum","Pachychilon pictum",1021353,1021353,"Pachychilon pictum","accepted",NA,"(Heckel & Kner, 1858)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pachychilon",1,0,"Pachychilon pictum","no"
"1076","Phoxinus steindachneri","Phoxinus steindachneri","species","ACCEPTED","Phoxinus steindachneri","Phoxinus+steindachneri","Phoxinus steindachneri",1019886,1019886,"Phoxinus steindachneri","accepted",NA,"Sauvage, 1883","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",1,0,"Phoxinus steindachneri","no"
"1077","Phoxinus keumkang","Phoxinus keumkang","species","ACCEPTED","Phoxinus keumkang","Phoxinus+keumkang","Phoxinus keumkang",1012723,1012723,"Phoxinus keumkang","accepted",NA,"(Chyung, 1977)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",1,0,"Phoxinus keumkang","no"
"1078","Rhynchocypris czekanowskii","Rhynchocypris czekanowskii","species","ACCEPTED","Rhynchocypris czekanowskii","Rhynchocypris+czekanowskii","Rhynchocypris czekanowskii",1019786,1019786,"Rhynchocypris czekanowskii","accepted",NA,"(Dybowski, 1869)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhynchocypris",0,0,"Rhynchocypris czekanowskii","no"
"1079","Notropis texanus","Notropis texanus","species","ACCEPTED","Notropis texanus","Notropis+texanus","Notropis texanus",1019547,1019547,"Notropis texanus","accepted",NA,"(Girard, 1856)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis",1,0,"Notropis texanus","no"
"1080","Tribolodon brandtii","Tribolodon brandtii","species","ACCEPTED","Tribolodon brandtii","Tribolodon+brandtii","Pseudaspius brandtii",1534979,283040,"Tribolodon brandtii","unaccepted",NA,"(Dybowski, 1872)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tribolodon",0,0,"Pseudaspius brandtii","no"
"1081","Tribolodon ezoe","Tribolodon ezoe","species","SYNONYM","Tribolodon ezoe","Tribolodon+ezoe","Pseudaspius sachalinensis",1572046,283041,"Tribolodon ezoe","junior subjective synonym",NA,"(Nikolskii, 1889)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tribolodon",0,0,"Pseudaspius sachalinensis","no"
"1082","Leucaspius delineatus","Leucaspius delineatus","species","ACCEPTED","Leucaspius delineatus","Leucaspius+delineatus","Leucaspius delineatus",154321,154321,"Leucaspius delineatus","accepted",NA,"(Heckel, 1843)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Leucaspius",0,0,"Leucaspius delineatus","no"
"1083","Leuciscus waleckii","Leuciscus waleckii","species","ACCEPTED","Leuciscus waleckii","Leuciscus+waleckii","Leuciscus waleckii",1026693,1026693,"Leuciscus waleckii","accepted",NA,"(Dybowski, 1869)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Leuciscus",1,0,"Leuciscus waleckii","no"
"1084","Rhynchocypris percnurus mantschuricus",NA,NA,NA,"Rhynchocypris percnurus mantschuricus","Rhynchocypris+percnurus+mantschuricus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhynchocypris percnurus mantschuricus","no"
"1085","Alburnoides bipunctatus","Alburnoides bipunctatus","species","ACCEPTED","Alburnoides bipunctatus","Alburnoides+bipunctatus","Alburnoides bipunctatus",154288,154288,"Alburnoides bipunctatus","accepted",NA,"(Bloch, 1782)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Alburnoides",0,0,"Alburnoides bipunctatus","no"
"1086","Rhinichthys falcatus","Rhinichthys falcatus","species","ACCEPTED","Rhinichthys falcatus","Rhinichthys+falcatus","Rhinichthys falcatus",592845,592845,"Rhinichthys falcatus","accepted",NA,"(Eigenmann & Eigenmann, 1893)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys",1,0,"Rhinichthys falcatus","no"
"1087","Siphateles bicolor","Siphateles bicolor","species","ACCEPTED","Siphateles bicolor","Siphateles+bicolor","Siphateles bicolor",1017026,1017026,"Siphateles bicolor","accepted",NA,"(Girard, 1856)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Siphateles",1,0,"Siphateles bicolor","no"
"1088","Gila coerulea","Gila coerulea","species","ACCEPTED","Gila coerulea","Gila+coerulea","Gila coerulea",1419418,1419418,"Gila coerulea","accepted",NA,"(Girard, 1856)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Gila",1,0,"Gila coerulea","no"
