"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"34","Piaractus mesopotamicus","Piaractus mesopotamicus","species","ACCEPTED","Piaractus mesopotamicus","Piaractus+mesopotamicus","Piaractus mesopotamicus",1019322,1019322,"Piaractus mesopotamicus","accepted",NA,"(Holmberg, 1887)","Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Piaractus",1,0,"Piaractus mesopotamicus","no"
"35","Colossoma macropomum","Colossoma macropomum","species","ACCEPTED","Colossoma macropomum","Colossoma+macropomum","Colossoma macropomum",1020122,1020122,"Colossoma macropomum","accepted",NA,"(Cuvier, 1816)","Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Colossoma",1,0,"Colossoma macropomum","no"
"36","Piaractus sp. HC-2014",NA,NA,NA,"Piaractus sp. HC-2014","Piaractus+sp.+HC-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Piaractus sp. HC-2014","no"
"37","Geophagus brasiliensis","Geophagus brasiliensis","species","ACCEPTED","Geophagus brasiliensis","Geophagus+brasiliensis","Geophagus brasiliensis",280831,280831,"Geophagus brasiliensis","accepted",NA,"(Quoy & Gaimard, 1824)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Geophagus",0,0,"Geophagus brasiliensis","no"
"38","Geophagus brasiliensis","Geophagus brasiliensis","species","ACCEPTED","Geophagus brasiliensis","Geophagus+brasiliensis","Geophagus brasiliensis",280831,367717,"Geophagus brasiliensis","unaccepted","ambiguous synonym","(Quoy & Gaimard, 1824)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Geophagus",0,0,"Geophagus brasiliensis","no"
"39","Pygocentrus nattereri","Pygocentrus nattereri","species","ACCEPTED","Pygocentrus nattereri","Pygocentrus+nattereri","Pygocentrus nattereri",1018170,1018170,"Pygocentrus nattereri","accepted",NA,"Kner, 1858","Animalia","Chordata","Teleostei","Characiformes","Serrasalmidae","Pygocentrus",1,0,"Pygocentrus nattereri","no"
"40","Semaprochilodus taeniurus","Semaprochilodus taeniurus","species","ACCEPTED","Semaprochilodus taeniurus","Semaprochilodus+taeniurus","Semaprochilodus taeniurus",1150190,1150190,"Semaprochilodus taeniurus","accepted",NA,"(Valenciennes, 1821)","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Semaprochilodus",1,0,"Semaprochilodus taeniurus","no"
"41","Salmo salar","Salmo salar","species","ACCEPTED","Salmo salar","Salmo+salar","Salmo salar",127186,127186,"Salmo salar","accepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",0,0,"Salmo salar","yes"
"42","Salmo trutta","Salmo trutta","species","ACCEPTED","Salmo trutta","Salmo+trutta","Salmo trutta",127187,127187,"Salmo trutta","accepted",NA,"Linnaeus, 1758","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",0,0,"Salmo trutta","yes"
"43","Salvelinus leucomaenis","Salvelinus leucomaenis","species","ACCEPTED","Salvelinus leucomaenis","Salvelinus+leucomaenis","Salvelinus leucomaenis",293725,293725,"Salvelinus leucomaenis","accepted",NA,"(Pallas, 1814)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus leucomaenis","no"
