row_names	input	filtered	denoisedF	denoisedR	merged	merged.1	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
GDS081-Pacific_S81_L001_R1_001.fastq.gz	103763	96824	96668	96144	93201	93201	91681	0	1.63088378880055	88.3561577826393
GDS082-Pacific_S82_L001_R1_001.fastq.gz	115523	108288	107804	107734	104637	104637	97697	0	6.63245314754819	84.569306545017
GDS083-Pacific_S83_L001_R1_001.fastq.gz	160033	154259	153766	151030	147894	147894	142580	0	3.59311398704477	89.0941243368555
GDS084-Pacific_S84_L001_R1_001.fastq.gz	83910	77501	77365	76754	73907	73907	70457	0	4.66802873882041	83.9673459659159
GDS085-Pacific_S85_L001_R1_001.fastq.gz	93421	88891	88740	87959	86356	86356	79029	0	8.48464495808049	84.5944701940677
GDS086-Pacific_S86_L001_R1_001.fastq.gz	99997	93782	93566	91723	89352	89352	83913	0	6.08716089175397	83.915517465524
GDS087-Pacific_S87_L001_R1_001.fastq.gz	101599	95727	95568	95130	93946	93946	85879	0	8.58684776360889	84.5274067658146
GDS088-Pacific_S88_L001_R1_001.fastq.gz	83518	78636	78557	78277	76119	76119	62755	0	17.5567203983237	75.1394908881918
GDS089-Pacific_S89_L001_R1_001.fastq.gz	168647	158056	157491	155616	149589	149589	136905	0	8.47923309869041	81.1784378020362
GDS090-Pacific_S90_L001_R1_001.fastq.gz	1258	642	575	504	479	479	479	0	0	38.0763116057234
GDS091-Pacific_S91_L001_R1_001.fastq.gz	208147	199630	198897	194219	184834	184834	177207	0	4.12640531503943	85.1355051958472
GDS092-Pacific_S92_L001_R1_001.fastq.gz	197517	185182	184243	179347	138935	138935	131747	0	5.17364235073956	66.7016003685759
GDS093-Pacific_S93_L001_R1_001.fastq.gz	215849	207000	206604	202053	200245	200245	182763	0	8.7303053759145	84.6716917845346
GDS094-Pacific_S94_L001_R1_001.fastq.gz	134569	126184	126018	125201	122807	122807	117310	0	4.4761292108756	87.1746093082359
GDS095-Pacific_S95_L001_R1_001.fastq.gz	131330	123203	122918	121920	119469	119469	114298	0	4.3283194803673	87.0311429224092
GDS096-Pacific_S97_L001_R1_001.fastq.gz	155758	146956	146609	145095	139777	139777	133435	0	4.5372271546821	85.6681518766291
GDS097-Pacific_S98_L001_R1_001.fastq.gz	678	351	326	244	231	231	231	0	0	34.070796460177
GDS098-Pacific_S99_L001_R1_001.fastq.gz	144310	134752	134461	132528	128680	128680	116014	0	9.84302144855455	80.3922112119742
GDS099-Pacific_S100_L001_R1_001.fastq.gz	111093	105182	105009	104447	102966	102966	96145	0	6.62451683079853	86.5446067709037
GDS100-Pacific_S101_L001_R1_001.fastq.gz	135944	128834	128145	126372	123153	123153	117471	0	4.61377311149546	86.4113164244101
GDS101-Pacific_S102_L001_R1_001.fastq.gz	107772	102382	102135	101971	99267	99267	88829	0	10.5150755034402	82.423078350592
GDS102-Pacific_S103_L001_R1_001.fastq.gz	114757	109451	109259	107492	107016	107016	101262	0	5.37676609105181	88.2403687792466
GDS103-Pacific_S104_L001_R1_001.fastq.gz	130759	123189	122902	120752	116840	116840	111925	0	4.20660732625812	85.5964025420812
GDS104-Pacific_S105_L001_R1_001.fastq.gz	518	320	275	238	210	210	210	0	0	40.5405405405405
GDS105-Pacific_S106_L001_R1_001.fastq.gz	148696	140409	139957	136331	132494	132494	128273	0	3.18580464021012	86.2652660461613
GDS106-Pacific_S107_L001_R1_001.fastq.gz	289230	276518	275955	270899	265979	265979	255384	0	3.98339718549209	88.2978944092936
GDS107-Pacific_S108_L001_R1_001.fastq.gz	210948	203430	203068	198658	196718	196718	176007	0	10.5282688925264	83.4362022868195
GDS108-Pacific_S109_L001_R1_001.fastq.gz	123933	117830	117607	115430	112864	112864	108169	0	4.15987383045081	87.2802239919957
GDS109-Pacific_S110_L001_R1_001.fastq.gz	123570	118303	117971	116650	113886	113886	109115	0	4.18927699629454	88.3021769037792
GDS110-Pacific_S111_L001_R1_001.fastq.gz	135413	129400	129167	127171	123590	123590	113431	0	8.21992070555871	83.7666989136937
GDS111-Pacific_S112_L001_R1_001.fastq.gz	300	171	148	112	105	105	105	0	0	35
GDS112-Pacific_S113_L001_R1_001.fastq.gz	172622	165913	165516	161979	158915	158915	157553	0	0.857061951357636	91.2705217179734
GDS113-Pacific_S114_L001_R1_001.fastq.gz	179814	171851	171492	169366	167955	167955	158071	0	5.88490964841773	87.9080605514587
GDS114-Pacific_S115_L001_R1_001.fastq.gz	272889	265705	264979	259867	256083	256083	255214	0	0.339343103603127	93.5230075232054
GDS115-Pacific_S116_L001_R1_001.fastq.gz	161788	155728	155534	154693	152824	152824	149084	0	2.44725959273413	92.1477489059757
GDS116-Pacific_S117_L001_R1_001.fastq.gz	1437	1315	1294	1230	1213	1213	1186	0	2.22588623248146	82.5330549756437
GDS117-Pacific_S118_L001_R1_001.fastq.gz	35703	34619	34598	34519	34484	34484	34349	0	0.391485906507356	96.2076016021063
GDS118-Pacific_S119_L001_R1_001.fastq.gz	222	162	151	130	120	120	120	0	0	54.0540540540541
GDS119-Pacific_S120_L001_R1_001.fastq.gz	140564	133267	132618	129690	127717	127717	125394	0	1.81886514716129	89.2077630118665
GDS120-Pacific_S121_L001_R1_001.fastq.gz	311935	301494	300924	298165	277064	277064	272041	0	1.81293852683856	87.2107971211951
GDS121-Pacific_S122_L001_R1_001.fastq.gz	28139	26462	26372	25502	25430	25430	23156	0	8.94219425874951	82.2914815736167
GDS122-Pacific_S123_L001_R1_001.fastq.gz	260911	252874	252256	249373	245336	245336	239991	0	2.17864479733916	91.9819402018313
GDS123-Pacific_S124_L001_R1_001.fastq.gz	210851	204783	204444	202462	201257	201257	197133	0	2.04912127280045	93.4939839033251
GDS124-Pacific_S125_L001_R1_001.fastq.gz	254404	246190	245875	242544	241164	241164	239953	0	0.502147915941023	94.3196647851449
GDS125-Pacific_S126_L001_R1_001.fastq.gz	468	330	315	279	266	266	266	0	0	56.8376068376068
GDS126-Pacific_S127_L001_R1_001.fastq.gz	239668	232508	232202	229703	226499	226499	219959	0	2.88742996657821	91.7765408815528
GDS127-Pacific_S128_L001_R1_001.fastq.gz	191969	183951	183482	180406	178208	178208	152345	0	14.5128164841085	79.3591673655642
GDS128-Pacific_S129_L001_R1_001.fastq.gz	183864	176666	175882	172931	170350	170350	148455	0	12.8529498092163	80.7417438976635
GDS129-Pacific_S130_L001_R1_001.fastq.gz	134282	126113	125634	123435	120192	120192	115589	0	3.82970580404685	86.0792958103096
GDS130-Pacific_S131_L001_R1_001.fastq.gz	202172	194027	193346	189298	186644	186644	183562	0	1.65127194016416	90.7949666620501
GDS131-Pacific_S132_L001_R1_001.fastq.gz	101248	94560	94287	92689	91703	91703	88273	0	3.74033564877921	87.1849320480405
GDS132-Pacific_S133_L001_R1_001.fastq.gz	419	279	239	174	145	145	145	0	0	34.6062052505967
GDSXN-pacific-001_S134_L001_R1_001.fastq.gz	14577	13392	13354	13280	12286	12286	11850	0	3.54875468012372	81.2924470055567
GDSXN-pacific-002_S135_L001_R1_001.fastq.gz	241	168	162	110	102	102	102	0	0	42.3236514522822
GDSXN-pacific-003_S136_L001_R1_001.fastq.gz	262	170	129	96	88	88	88	0	0	33.587786259542
GDSXN-pacific-004_S137_L001_R1_001.fastq.gz	1010	927	901	882	877	877	877	0	0	86.8316831683168
GDSXN-pacific-005_S138_L001_R1_001.fastq.gz	259	157	139	130	118	118	118	0	0	45.5598455598456
GDSXN-pacific-006_S139_L001_R1_001.fastq.gz	284	211	193	145	136	136	136	0	0	47.887323943662
