found_taxa,worms_sciname,ncbi_species,gbif_name,rank,gbif_status,query,worms_aphiaid,worms_status,unacceptreason,freshwater_only,kingdom,phylum,class,order,family,genus
Osmerus mordax,Osmerus mordax,Osmerus mordax,Osmerus mordax,species,ACCEPTED,Osmerus mordax,126737,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus
Spirinchus lanceolatus,Spirinchus lanceolatus,Spirinchus lanceolatus,Spirinchus lanceolatus,species,ACCEPTED,Spirinchus lanceolatus,282842,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Spirinchus
Spirinchus thaleichthys,Spirinchus thaleichthys,Spirinchus thaleichthys,Spirinchus thaleichthys,species,ACCEPTED,Spirinchus thaleichthys,282844,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Spirinchus
Thaleichthys pacificus,Thaleichthys pacificus,Thaleichthys pacificus,Thaleichthys pacificus,species,ACCEPTED,Thaleichthys pacificus,282959,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Thaleichthys
Hypomesus nipponensis,Hypomesus nipponensis,Hypomesus nipponensis,Hypomesus nipponensis,species,ACCEPTED,Hypomesus nipponensis,279421,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus
Opistognathus iyonis,Opistognathus iyonis,Opistognathus iyonis,Opistognathus iyonis,species,ACCEPTED,Opistognathus iyonis,276457,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Salanx chinensis,Salanx chinensis,Salanx chinensis,Salanx chinensis,species,ACCEPTED,Salanx chinensis,315539,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Salangidae,Salanx
Opistognathus jacksoniensis,Opistognathus jacksoniensis,Opistognathus jacksoniensis,Opistognathus jacksoniensis,species,ACCEPTED,Opistognathus jacksoniensis,276458,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Plecoglossus altivelis ryukyuensis,NA,Plecoglossus altivelis ryukyuensis,Plecoglossus altivelis ryukyuensis,subspecies,SYNONYM,Plecoglossus altivelis ryukyuensis,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Osmeriformes,Plecoglossidae,Plecoglossus
Pseudogobius poicilosoma,Pseudogobius poicilosoma,Pseudogobius javanicus,Pseudogobius javanicus,species,ACCEPTED,Pseudogobius javanicus,282429,unaccepted,NA,0,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Pseudogobius
Osmerus dentex,Osmerus dentex,Osmerus mordax dentex,Osmerus mordax dentex,subspecies,SYNONYM,Osmerus mordax dentex,254557,unaccepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus
Neosalangichthys ishikawae,Neosalangichthys ishikawae,Neosalangichthys ishikawae,Neosalangichthys ishikawae,species,ACCEPTED,Neosalangichthys ishikawae,1017446,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Salangidae,Neosalangichthys
Plecoglossus altivelis altivelis,NA,Plecoglossus altivelis altivelis,Plecoglossus altivelis altivelis,subspecies,SYNONYM,Plecoglossus altivelis altivelis,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Osmeriformes,Plecoglossidae,Plecoglossus
Plecoglossus altivelis,Plecoglossus altivelis,Plecoglossus altivelis,Plecoglossus altivelis,species,ACCEPTED,Plecoglossus altivelis,293715,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Plecoglossidae,Plecoglossus
Opistognathus evermanni,Opistognathus evermanni,Opistognathus evermanni,Opistognathus evermanni,species,ACCEPTED,Opistognathus evermanni,276449,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Opistognathus decorus,Opistognathus decorus,Opistognathus decorus,Opistognathus decorus,species,ACCEPTED,Opistognathus decorus,276447,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Salanx ariakensis,Salanx ariakensis,Salanx ariakensis,Salanx ariakensis,species,ACCEPTED,Salanx ariakensis,282651,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Salangidae,Salanx
Opistognathus hopkinsi,Opistognathus hopkinsi,Opistognathus hopkinsi,Opistognathus hopkinsi,species,ACCEPTED,Opistognathus hopkinsi,276455,accepted,NA,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Lagocephalus lunaris,Lagocephalus lunaris,Lagocephalus lunaris,Lagocephalus lunaris,species,ACCEPTED,Lagocephalus lunaris,219957,accepted,NA,0,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus
Myxodes viridis,Myxodes viridis,Myxodes viridis,Myxodes viridis,species,ACCEPTED,Myxodes viridis,281629,accepted,NA,0,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Myxodes
Mallotus villosus,Mallotus villosus,Mallotus villosus,Mallotus villosus,species,ACCEPTED,Mallotus villosus,126735,accepted,NA,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus
