#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV236	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV237	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV238	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV239	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV240	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV241	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV242	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV243	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV245	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV246	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV247	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV249	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV250	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV251	genus	Candidatus Pseudothioglobus	Bacteria	Pseudomonadota	Gammaproteobacteria	unknown order	unknown family	Candidatus Pseudothioglobus	no identification	lca
ASV252	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV253	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV254	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV255	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV256	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV257	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV258	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV259	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV260	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV261	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV262	family	Salmonidae	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	no identification	no identification	lca
ASV263	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV264	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV265	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV266	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV267	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV268	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV269	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV270	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV272	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV273	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV274	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV275	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV277	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV278	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV279	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV280	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV281	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV282	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV283	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV284	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV285	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV286	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV287	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV288	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV289	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV290	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV291	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV292	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV293	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV294	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV295	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV296	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV297	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV298	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV299	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV300	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV301	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV302	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV303	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV304	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV305	family	Salmonidae	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	no identification	no identification	lca
ASV306	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV307	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV308	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV309	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV311	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV312	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV313	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV314	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV315	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV316	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV317	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV318	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV319	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV320	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV321	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV322	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV323	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV324	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV325	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV326	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV327	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV329	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV330	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV331	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV332	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV333	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV334	family	Salmonidae	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	no identification	no identification	lca
ASV336	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV337	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV338	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV339	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV340	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV341	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV342	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV343	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV344	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV345	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV346	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV347	order	Gadiformes	Eukaryota	Chordata	Actinopteri	Gadiformes	no identification	no identification	no identification	lca
ASV348	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV349	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV350	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV351	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV352	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV353	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV354	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV355	kingdom	Bacteria	Bacteria	no identification	no identification	no identification	no identification	no identification	no identification	lca
ASV356	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV357	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV358	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV360	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV361	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV362	class	Mammalia	Eukaryota	Chordata	Mammalia	no identification	no identification	no identification	no identification	lca
ASV363	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV364	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV365	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV367	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV368	order	Perciformes	Eukaryota	Chordata	Actinopteri	Perciformes	no identification	no identification	no identification	lca
ASV369	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV370	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV371	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV372	class	Actinopteri	Eukaryota	Chordata	Actinopteri	no identification	no identification	no identification	no identification	lca
ASV373	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV374	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV375	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV376	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV377	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV378	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV379	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV380	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV381	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV382	family	Salmonidae	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	no identification	no identification	lca
ASV383	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
ASV384	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no lca
