"","accepted_name","verbatim_name","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"200","Ilypnus luculentus","Ilypnus luculentus","accepted","Ilypnus luculentus",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Ilypnus",TRUE,FALSE,FALSE,281175,NA,"Ilypnus luculentus"
"201","Paraconger californiensis","Paraconger californiensis","accepted","Paraconger californiensis",NA,"species","Actinopteri","Anguilliformes","Congridae","Paraconger",TRUE,FALSE,FALSE,271789,NA,"Paraconger californiensis"
"202","Ogilbia davidsmithi","Ogilbia davidsmithi","accepted","Ogilbia davidsmithi",NA,"species","Actinopteri","Ophidiiformes","Bythitidae","Ogilbia",TRUE,FALSE,FALSE,281846,NA,"Ogilbia davidsmithi"
"203","Gobiesox schultzi","Gobiesox schultzi","accepted","Gobiesox schultzi",NA,"species","Actinopteri","Gobiesociformes","Gobiesocidae","Gobiesox",TRUE,FALSE,FALSE,275680,NA,"Gobiesox schultzi"
"204","Paraletharchus pacificus","Paraletharchus pacificus","accepted","Paraletharchus pacificus",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Paraletharchus",TRUE,FALSE,FALSE,282062,NA,"Paraletharchus pacificus"
"205","Doryrhamphus excisus excisus","Doryrhamphus excisus excisus","accepted","Doryrhamphus excisus","Doryrhamphus excisus excisus","subspecies","Actinopteri","Syngnathiformes","Syngnathidae","Doryrhamphus",TRUE,FALSE,FALSE,293586,NA,"Doryrhamphus excisus"
"206","Cryptotrema seftoni","Cryptotrema seftoni","accepted","Cryptotrema seftoni",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Cryptotrema",TRUE,FALSE,FALSE,280448,NA,"Cryptotrema seftoni"
"207","Pareques fuscovittatus","Pareques fuscovittatus","accepted","Pareques fuscovittatus",NA,"species","Actinopteri","Eupercaria incertae sedis","Sciaenidae","Pareques",TRUE,FALSE,FALSE,282140,NA,"Pareques fuscovittatus"
"208","Ophidion iris","Ophidion iris","accepted","Ophidion iris",NA,"species","Actinopteri","Ophidiiformes","Ophidiidae","Ophidion",TRUE,FALSE,FALSE,272826,NA,"Ophidion iris"
"209","Labrisomus socorroensis","Labrisomus socorroensis","accepted","Labrisomus socorroensis",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Labrisomus",TRUE,FALSE,FALSE,281263,NA,"Labrisomus socorroensis"
"210","Tigrigobius digueti","Tigrigobius digueti","accepted","Tigrigobius digueti",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Tigrigobius",TRUE,FALSE,FALSE,1011464,NA,"Tigrigobius digueti"
"211","Enchelycore octaviana","Enchelycore octaviana","accepted","Enchelycore octaviana",NA,"species","Actinopteri","Anguilliformes","Muraenidae","Enchelycore",TRUE,FALSE,FALSE,271810,NA,"Enchelycore octaviana"
"212","Tylosurus fodiator","Tylosurus fodiator","accepted","Tylosurus fodiator",NA,"species","Actinopteri","Beloniformes","Belonidae","Tylosurus",TRUE,FALSE,FALSE,300115,NA,"Tylosurus fodiator"
"213","Ogilbia nudiceps","Ogilbia nudiceps","accepted","Ogilbia nudiceps",NA,"species","Actinopteri","Ophidiiformes","Bythitidae","Ogilbia",TRUE,FALSE,FALSE,281853,NA,"Ogilbia nudiceps"
"214","Bathycongrus varidens","Bathycongrus varidens","accepted","Bathycongrus varidens",NA,"species","Actinopteri","Anguilliformes","Congridae","Bathycongrus",TRUE,FALSE,FALSE,276877,NA,"Bathycongrus varidens"
"215","Myrichthys pantostigmius","Myrichthys pantostigmius","accepted","Myrichthys pantostigmius",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Myrichthys",TRUE,FALSE,FALSE,275487,NA,"Myrichthys pantostigmius"
"216","Leuresthes sardina","Leuresthes sardina","accepted","Leuresthes sardina",NA,"species","Actinopteri","Atheriniformes","Atherinidae","Leuresthes",TRUE,FALSE,FALSE,281343,NA,"Leuresthes sardina"
"217","Apterichtus equatorialis","Apterichtus equatorialis","accepted","Apterichtus equatorialis",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Apterichtus",TRUE,FALSE,FALSE,271923,NA,"Apterichtus equatorialis"
"218","Dactyloscopus fallax","Dactyloscopus fallax","accepted","Dactyloscopus fallax",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactyloscopus",TRUE,FALSE,FALSE,712826,NA,"Dactyloscopus fallax"
"219","Heteroconger pellegrini","Heteroconger pellegrini","accepted","Heteroconger pellegrini",NA,"species","Actinopteri","Anguilliformes","Congridae","Heteroconger",TRUE,FALSE,FALSE,271783,NA,"Heteroconger pellegrini"
"220","Trachinotus stilbe","Trachinotus stilbe","accepted","Trachinotus stilbe",NA,"species","Actinopteri","Carangiformes","Carangidae","Trachinotus",TRUE,FALSE,FALSE,273298,NA,"Trachinotus stilbe"
"221","Acanthemblemaria mangognatha","Acanthemblemaria mangognatha","accepted","Acanthemblemaria mangognatha",NA,"species","Actinopteri","Blenniiformes","Chaenopsidae","Acanthemblemaria",TRUE,FALSE,FALSE,279456,NA,"Acanthemblemaria mangognatha"
"222","Dactyloscopus metoecus","Dactyloscopus metoecus","accepted","Dactyloscopus metoecus",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactyloscopus",TRUE,FALSE,FALSE,276402,NA,"Dactyloscopus metoecus"
"223","Callechelys eristigma","Callechelys eristigma","accepted","Callechelys eristigma",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Callechelys",TRUE,FALSE,FALSE,275466,NA,"Callechelys eristigma"
"224","Laemonema verecundum","Laemonema verecundum","accepted","Laemonema verecundum",NA,"species","Actinopteri","Gadiformes","Moridae","Laemonema",TRUE,FALSE,FALSE,272479,NA,"Laemonema verecundum"
"225","Myxodagnus macrognathus","Myxodagnus macrognathus","accepted","Myxodagnus macrognathus",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Myxodagnus",TRUE,FALSE,FALSE,281623,NA,"Myxodagnus macrognathus"
"226","Bathycongrus macrurus","Bathycongrus macrurus","accepted","Bathycongrus macrurus",NA,"species","Actinopteri","Anguilliformes","Congridae","Bathycongrus",TRUE,FALSE,FALSE,276870,NA,"Bathycongrus macrurus"
"227","Gobiesox marijeanae","Gobiesox marijeanae","accepted","Gobiesox marijeanae",NA,"species","Actinopteri","Gobiesociformes","Gobiesocidae","Gobiesox",TRUE,FALSE,FALSE,275672,NA,"Gobiesox marijeanae"
"228","Gillellus searcheri","Gillellus searcheri","accepted","Gillellus searcheri",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Gillellus",TRUE,FALSE,FALSE,280848,NA,"Gillellus searcheri"
"229","Barbulifer mexicanus","Barbulifer mexicanus","accepted","Barbulifer mexicanus",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Barbulifer",TRUE,FALSE,FALSE,279863,NA,"Barbulifer mexicanus"
"230","Gillellus arenicola","Gillellus arenicola","accepted","Gillellus arenicola",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Gillellus",TRUE,FALSE,FALSE,280841,NA,"Gillellus arenicola"
"231","Aulopus bajacali","Aulopus bajacali","accepted","Aulopus bajacali",NA,"species","Actinopteri","Aulopiformes","Aulopidae","Aulopus",TRUE,FALSE,FALSE,272041,NA,"Aulopus bajacali"
"232","Chromis limbaughi","Chromis limbaughi","accepted","Chromis limbaughi",NA,"species","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Chromis",TRUE,FALSE,FALSE,273736,NA,"Chromis limbaughi"
"233","Starksia hoesei","Starksia hoesei","accepted","Starksia hoesei",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Starksia",TRUE,FALSE,FALSE,276373,NA,"Starksia hoesei"
"234","Platybelone pterura","Platybelone pterura","accepted","Platybelone pterura",NA,"species","Actinopteri","Beloniformes","Belonidae","Platybelone",TRUE,NA,NA,1577348,NA,"Platybelone pterura"
"235","Porichthys ephippiatus","Porichthys ephippiatus","accepted","Porichthys ephippiatus",NA,"species","Actinopteri","Batrachoidiformes","Batrachoididae","Porichthys",TRUE,FALSE,FALSE,275652,NA,"Porichthys ephippiatus"
"236","Dactyloscopus minutus","Dactyloscopus minutus","accepted","Dactyloscopus minutus",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Dactyloscopus",TRUE,FALSE,FALSE,276403,NA,"Dactyloscopus minutus"
"237","Platybelone platyura","Platybelone platyura","accepted","Platybelone platyura",NA,"species","Actinopteri","Beloniformes","Belonidae","Platybelone",TRUE,FALSE,FALSE,1592404,NA,"Platybelone platyura"
"238","Sphoeroides sechurae","Sphoeroides sechurae","accepted","Sphoeroides sechurae",NA,"species","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides",TRUE,FALSE,FALSE,275284,NA,"Sphoeroides sechurae"
"239","Narcine vermiculata","Narcine vermiculata","accepted","Narcine vermiculata",NA,"species","Elasmobranchii","Torpediniformes","Narcinidae","Narcine",TRUE,FALSE,FALSE,1486845,NA,"Narcine vermiculata"
"240","Uropterygius versutus","Uropterygius versutus","accepted","Uropterygius versutus",NA,"species","Actinopteri","Anguilliformes","Muraenidae","Uropterygius",TRUE,FALSE,FALSE,277955,NA,"Uropterygius versutus"
"241","Starksia cremnobates","Starksia cremnobates","accepted","Starksia cremnobates",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Starksia",TRUE,FALSE,FALSE,276363,NA,"Starksia cremnobates"
"242","Urotrygon munda","Urotrygon munda","accepted","Urotrygon munda",NA,"species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon",TRUE,FALSE,FALSE,283118,NA,"Urotrygon munda"
"243","Malacoctenus mexicanus","Malacoctenus mexicanus","accepted","Malacoctenus mexicanus",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Malacoctenus",TRUE,FALSE,FALSE,712819,NA,"Malacoctenus mexicanus"
"244","Ogilbia boydwalkeri","Ogilbia boydwalkeri","accepted","Ogilbia boydwalkeri",NA,"species","Actinopteri","Ophidiiformes","Bythitidae","Ogilbia",TRUE,FALSE,FALSE,281843,NA,"Ogilbia boydwalkeri"
"245","Malacoctenus polyporosus","Malacoctenus polyporosus","accepted","Malacoctenus polyporosus",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Malacoctenus",TRUE,FALSE,FALSE,314916,NA,"Malacoctenus polyporosus"
"246","Perissias taeniopterus","Perissias taeniopterus","accepted","Perissias taeniopterus",NA,"species","Actinopteri","Pleuronectiformes","Bothidae","Perissias",TRUE,FALSE,FALSE,282219,NA,"Perissias taeniopterus"
"247","Serranus socorroensis","Serranus socorroensis","accepted","Serranus socorroensis",NA,"species","Actinopteri","Perciformes","Serranidae","Serranus",TRUE,FALSE,FALSE,273906,NA,"Serranus socorroensis"
"248","Uropterygius marmoratus","Uropterygius marmoratus","accepted","Uropterygius marmoratus",NA,"species","Actinopteri","Anguilliformes","Muraenidae","Uropterygius",TRUE,TRUE,FALSE,212032,NA,"Uropterygius marmoratus"
"249","Lycenchelys folletti","Lycenchelys folletti","accepted","Lycenchelys folletti",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycenchelys",TRUE,FALSE,FALSE,274064,NA,"Lycenchelys folletti"
"250","Raja equatorialis","Raja equatorialis","accepted","Raja equatorialis",NA,"species","Elasmobranchii","Rajiformes","Rajidae","Raja",TRUE,FALSE,FALSE,271576,NA,"Raja equatorialis"
"251","Gillellus ornatus","Gillellus ornatus","accepted","Gillellus ornatus",NA,"species","Actinopteri","Blenniiformes","Dactyloscopidae","Gillellus",TRUE,FALSE,FALSE,280847,NA,"Gillellus ornatus"
"252","Rhamphocetichthys savagei","Rhamphocetichthys savagei","accepted","Rhamphocetichthys savagei",NA,"species","Actinopteri","Beryciformes","Cetomimidae","Rhamphocetichthys",TRUE,FALSE,FALSE,282577,NA,"Rhamphocetichthys savagei"
"253","Paraclinus stephensi","Paraclinus stephensi","accepted","Paraclinus stephensi",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Paraclinus",TRUE,FALSE,FALSE,282035,NA,"Paraclinus stephensi"
"254","Lythrypnus insularis","Lythrypnus insularis","accepted","Lythrypnus insularis",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Lythrypnus",TRUE,FALSE,FALSE,281461,NA,"Lythrypnus insularis"
"255","Urotrygon simulatrix","Urotrygon simulatrix","accepted","Urotrygon simulatrix",NA,"species","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urotrygon",TRUE,FALSE,FALSE,283124,NA,"Urotrygon simulatrix"
"256","Phaenomonas pinnata","Phaenomonas pinnata","accepted","Phaenomonas pinnata",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Phaenomonas",TRUE,FALSE,FALSE,277572,NA,"Phaenomonas pinnata"
"257","Starksia lepidogaster","Starksia lepidogaster","accepted","Starksia lepidogaster",NA,"species","Actinopteri","Blenniiformes","Labrisomidae","Starksia",TRUE,FALSE,FALSE,276375,NA,"Starksia lepidogaster"
"258","Scorpaena russula","Scorpaena russula","accepted","Scorpaena russula",NA,"species","Actinopteri","Perciformes","Scorpaenidae","Scorpaena",TRUE,FALSE,FALSE,274735,NA,"Scorpaena russula"
"259","Callechelys cliffi","Callechelys cliffi","accepted","Callechelys cliffi",NA,"species","Actinopteri","Anguilliformes","Ophichthidae","Callechelys",TRUE,FALSE,FALSE,275465,NA,"Callechelys cliffi"
