asv,lca_rank,lca_taxon,kingdom,phylum,class,order,family,genus,species,method,survey,marker
ASV1530,species,Psettichthys melanostictus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,best hit,depth transect atlantic,coi
ASV1540,species,Calanus finmarchicus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus finmarchicus,best hit,depth transect atlantic,coi
ASV1558,species,Meganyctiphanes norvegica,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes,Meganyctiphanes norvegica,best hit,depth transect atlantic,coi
ASV1560,species,Ophiopholis aculeata,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiopholis,Ophiopholis aculeata,best hit,depth transect atlantic,coi
ASV1564,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1587,species,Synchaeta triophthalma,Eukaryota,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta triophthalma,lca,depth transect atlantic,coi
ASV1598,species,Acartia sp. KLMPC044-09,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. KLMPC044-09,best hit,depth transect atlantic,coi
ASV1602,species,Phyllodoce groenlandica CMC01,Eukaryota,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Phyllodoce groenlandica CMC01,best hit,depth transect atlantic,coi
ASV1654,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV1670,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV1682,species,Metridia lucens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens,best hit,depth transect atlantic,coi
ASV1688,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV1697,species,Haliclona oculata,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata,best hit,depth transect atlantic,coi
ASV1714,species,Lizzia blondina,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Lizzia,Lizzia blondina,best hit,depth transect atlantic,coi
ASV1733,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1740,species,Calanus finmarchicus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus finmarchicus,best hit,depth transect atlantic,coi
ASV1741,species,Temora longicornis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora longicornis,best hit,depth transect atlantic,coi
ASV1750,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1764,species,Spiophanes kroyeri,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,Spiophanes kroyeri,best hit,depth transect atlantic,coi
ASV1833,species,Tortanus discaudatus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,Tortanus discaudatus,best hit,depth transect atlantic,coi
ASV1844,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV1860,species,Pholis ornata,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis ornata,best hit,depth transect atlantic,coi
ASV1884,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV1892,species,Poecilosclerida sp. NZCC4,Eukaryota,Porifera,Demospongiae,Poecilosclerida,unknown family,unknown genus,Poecilosclerida sp. NZCC4,best hit,depth transect atlantic,coi
ASV193,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV1931,species,Clupea pallasii,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,best hit,depth transect atlantic,coi
ASV1969,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV1975,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV1976,species,Acartia sp. Co422.1.1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. Co422.1.1,best hit,depth transect atlantic,coi
ASV1995,phylum,Nemertea,Eukaryota,Nemertea,no identification,no identification,no identification,no identification,no identification,lca,depth transect atlantic,coi
ASV2010,species,Membranipora membranacea,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,best hit,depth transect atlantic,coi
ASV2011,species,Ammodytes personatus,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes personatus,best hit,depth transect atlantic,coi
ASV2018,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV202,species,Metridia longa,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia longa,best hit,depth transect atlantic,coi
ASV203,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV2043,species,Bos mutus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus,best hit,depth transect atlantic,coi
ASV205,species,Oncorhynchus tshawytscha,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,best hit,depth transect atlantic,coi
ASV2081,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV2085,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,depth transect atlantic,coi
ASV2086,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV211,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,depth transect atlantic,coi
ASV2112,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2119,species,Lumpenus sagitta,Eukaryota,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,best hit,depth transect atlantic,coi
ASV214,species,Glypta,Eukaryota,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,unknown genus,Glypta,best hit,depth transect atlantic,coi
ASV2145,phylum,Nemertea,Eukaryota,Nemertea,no identification,no identification,no identification,no identification,no identification,lca,depth transect atlantic,coi
ASV215,species,Temora longicornis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora longicornis,best hit,depth transect atlantic,coi
ASV218,species,Synchaetidae,Eukaryota,Rotifera,Eurotatoria,Ploima,unknown family,unknown genus,Synchaetidae,best hit,depth transect atlantic,coi
ASV2207,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2226,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2228,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV225,species,Aurelia aurita,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,best hit,depth transect atlantic,coi
ASV228,species,Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,best hit,depth transect atlantic,coi
ASV2282,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2288,species,Temora longicornis,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,Temora longicornis,best hit,depth transect atlantic,coi
ASV2298,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2302,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,lca,depth transect atlantic,coi
ASV2307,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV232,species,Acartia sp. KLMPC044-09,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia sp. KLMPC044-09,best hit,depth transect atlantic,coi
ASV2333,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV2337,species,Obelia geniculata,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia geniculata,best hit,depth transect atlantic,coi
ASV2343,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2345,species,Aurelia aurita,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,best hit,depth transect atlantic,coi
ASV2397,species,Membranipora membranacea,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,best hit,depth transect atlantic,coi
ASV2404,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2428,species,Nereis pelagica,Eukaryota,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,Nereis pelagica,best hit,depth transect atlantic,coi
ASV2437,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV2444,species,Cyclopoida,Eukaryota,Arthropoda,Hexanauplia,unknown order,unknown family,unknown genus,Cyclopoida,best hit,depth transect atlantic,coi
ASV246,species,Cymatogaster aggregata,Eukaryota,Chordata,Actinopteri,unknown order,Embiotocidae,Cymatogaster,Cymatogaster aggregata,best hit,depth transect atlantic,coi
ASV251,species,Cyclopoida,Eukaryota,Arthropoda,Hexanauplia,unknown order,unknown family,unknown genus,Cyclopoida,best hit,depth transect atlantic,coi
ASV2546,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV2606,species,Calanus finmarchicus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus finmarchicus,best hit,depth transect atlantic,coi
ASV2615,species,Amphiporus sp. AMNH1,Eukaryota,Nemertea,Enopla,Monostilifera,Amphiporidae,Amphiporus,Amphiporus sp. AMNH1,best hit,depth transect atlantic,coi
ASV2632,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2645,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2649,species,Dasybranchus sp. DH1,Eukaryota,Annelida,Polychaeta,unknown order,Capitellidae,Dasybranchus,Dasybranchus sp. DH1,best hit,depth transect atlantic,coi
ASV2657,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2676,species,Melicertum octocostatum,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Melicertidae,Melicertum,Melicertum octocostatum,best hit,depth transect atlantic,coi
ASV2694,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2708,species,Aurelia aurita,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,best hit,depth transect atlantic,coi
ASV2714,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2734,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV276,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2761,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2770,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV2771,species,Paracalanus sp. F AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. F AC-2013,best hit,depth transect atlantic,coi
ASV2784,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2822,species,Obelia dichotoma,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma,best hit,depth transect atlantic,coi
ASV2826,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV2841,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2854,species,Oncorhynchus nerka,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,best hit,depth transect atlantic,coi
ASV2870,species,Myzopsetta ferruginea,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Myzopsetta,Myzopsetta ferruginea,best hit,depth transect atlantic,coi
ASV2876,species,Polygordius jouinae,Eukaryota,Annelida,Polychaeta,unknown order,Polygordiidae,Polygordius,Polygordius jouinae,best hit,depth transect atlantic,coi
ASV2883,species,Ctenolepisma longicaudata,Eukaryota,Arthropoda,Insecta,Zygentoma,Lepismatidae,Ctenolepisma,Ctenolepisma longicaudata,lca,depth transect atlantic,coi
ASV2884,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV2898,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV29,species,Pseudocalanus sp. PsAkkeshi1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus sp. PsAkkeshi1,best hit,depth transect atlantic,coi
ASV2911,species,Acartia hudsonica,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia hudsonica,best hit,depth transect atlantic,coi
ASV2914,species,Micrura varicolor,Eukaryota,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Micrura,Micrura varicolor,best hit,depth transect atlantic,coi
ASV2917,species,Campanulinidae,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,unknown family,unknown genus,Campanulinidae,best hit,depth transect atlantic,coi
ASV2918,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV2974,species,Metridia lucens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens,best hit,depth transect atlantic,coi
ASV2988,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV2992,species,Bolinopsis infundibulum,Eukaryota,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,Bolinopsis infundibulum,best hit,depth transect atlantic,coi
ASV2999,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV3014,species,Ophiura robusta,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiuridae,Ophiura,Ophiura robusta,best hit,depth transect atlantic,coi
ASV302,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV3026,species,Engraulis mordax,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,best hit,depth transect atlantic,coi
ASV3027,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV3035,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV304,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV3086,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV3088,species,Pleopis polyphemoides,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pleopis,Pleopis polyphemoides,best hit,depth transect atlantic,coi
ASV31,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV314,species,Metridia lucens,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens,best hit,depth transect atlantic,coi
ASV3158,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV3161,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV3167,species,Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,best hit,depth transect atlantic,coi
ASV3169,species,Aurelia aurita,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,best hit,depth transect atlantic,coi
ASV3188,species,Bos indicus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos indicus,best hit,depth transect atlantic,coi
ASV3211,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,depth transect atlantic,coi
ASV323,species,Euscelis,Eukaryota,Arthropoda,Insecta,Hemiptera,Cicadellidae,unknown genus,Euscelis,best hit,depth transect atlantic,coi
ASV324,species,Cyclopoida,Eukaryota,Arthropoda,Hexanauplia,unknown order,unknown family,unknown genus,Cyclopoida,best hit,depth transect atlantic,coi
ASV325,species,Oncorhynchus kisutch,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,best hit,depth transect atlantic,coi
ASV3258,species,Acartia hudsonica,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia hudsonica,best hit,depth transect atlantic,coi
ASV3282,species,Bos primigenius,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos primigenius,best hit,depth transect atlantic,coi
ASV3289,species,Membranipora membranacea,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,best hit,depth transect atlantic,coi
ASV3324,species,Haliclona oculata,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata,best hit,depth transect atlantic,coi
ASV3329,species,Cyanea sp. RUKIPOD,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Cyanea sp. RUKIPOD,best hit,depth transect atlantic,coi
