species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Conchoecia rudyakovi,NA,Species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecia,TRUE,NA,FALSE,1314226,1314226,NA,NA
Tubulanus pellucidus,NA,Species,Nemertea,Palaeonemertea,Tubulaniformes,Tubulanidae,Tubulanus,TRUE,NA,FALSE,147240,147240,499227,947580
Magelona hartmanae,NA,Species,Annelida,Polychaeta,NA,Magelonidae,Magelona,TRUE,FALSE,FALSE,329137,329137,NA,NA
Heptacarpus brevirostris,NA,Species,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,TRUE,FALSE,FALSE,515244,515244,276730,NA
Paciocinebrina lurida,NA,Species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,TRUE,NA,FALSE,1329756,1329756,NA,NA
Pegea confoederata,NA,Species,Chordata,Thaliacea,Salpida,Salpidae,Pegea,TRUE,NA,NA,137266,137266,NA,942563
Pachygrapsus crassipes,NA,Species,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,TRUE,NA,NA,395016,395016,576218,307936
Argissa hamatipes,NA,Species,Arthropoda,Malacostraca,Amphipoda,Argissidae,Argissa,TRUE,FALSE,FALSE,102064,102064,455799,NA
Kurtzina beta,NA,Species,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Kurtzina,TRUE,NA,NA,761520,761520,370505,NA
Actinostola faeculenta,NA,Species,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,TRUE,NA,NA,854440,854440,NA,NA
Solmissus marshalli,NA,Species,Cnidaria,Hydrozoa,Narcomedusae,Cuninidae,Solmissus,TRUE,NA,FALSE,221243,221243,NA,168789
Megangulus bodegensis,NA,Species,Mollusca,Bivalvia,Cardiida,Tellinidae,Megangulus,TRUE,NA,NA,878288,878288,NA,NA
Diplopteraster multipes,NA,Species,Echinodermata,Asteroidea,Velatida,Pterasteridae,Diplopteraster,TRUE,FALSE,FALSE,124128,124128,140226,465783
Lubbockia wilsonae,NA,Species,Arthropoda,Copepoda,Cyclopoida,Lubbockiidae,Lubbockia,TRUE,FALSE,FALSE,344609,344609,NA,NA
Neptunea pribiloffensis,NA,Species,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,TRUE,NA,NA,491185,491185,722692,NA
Siphonaria thersites,NA,Species,Mollusca,Gastropoda,Siphonariida,Siphonariidae,Siphonaria,TRUE,FALSE,TRUE,581906,581906,722678,1859609
Acromegalomma splendidum,NA,Species,Annelida,Polychaeta,Sabellida,Sabellidae,Acromegalomma,TRUE,FALSE,FALSE,994124,994124,NA,NA
Phoronopsis harmeri,NA,Species,Phoronida,NA,NA,Phoronidae,Phoronopsis,TRUE,NA,NA,128555,128555,212266,490051
Margarites helicinus,NA,Species,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,TRUE,FALSE,FALSE,141821,141821,201586,529749
Syllis (Ehlersia) hyperioni,NA,Species,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,TRUE,FALSE,FALSE,334890,334890,NA,NA
Paradialychone ecaudata,NA,Species,Annelida,Polychaeta,Sabellida,Sabellidae,Paradialychone,TRUE,FALSE,FALSE,558740,558740,807886,NA
Branchinecta lindahli,NA,Species,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,Branchinecta,NA,NA,TRUE,1214289,1214289,200049,91573
Astropecten californicus,NA,Species,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,TRUE,FALSE,FALSE,368460,368460,NA,NA
Cardiomya pectinata,NA,Species,Mollusca,Bivalvia,NA,Cuspidariidae,Cardiomya,TRUE,NA,FALSE,408482,408482,808191,NA
Rhepoxynius bicuspidatus,NA,Species,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Rhepoxynius,TRUE,FALSE,FALSE,549004,549004,NA,NA
Protodorvillea gracilis,NA,Species,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,TRUE,FALSE,FALSE,334643,334643,205787,868045
Uromunna ubiquita,NA,Species,Arthropoda,Malacostraca,Isopoda,Munnidae,Uromunna,TRUE,FALSE,FALSE,256270,256270,NA,NA
Paralomis multispina,NA,Species,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralomis,TRUE,FALSE,FALSE,378131,378131,19013,324080
Solaster endeca,NA,Species,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,TRUE,FALSE,FALSE,124160,124160,112295,290515
Dosidicus gigas,NA,Species,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus,TRUE,NA,FALSE,342291,342291,103348,346249
Nuculana pernula,NA,Species,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,TRUE,NA,NA,140579,140579,152294,129185
Microporina articulata,NA,Species,Bryozoa,Gymnolaemata,Cheilostomatida,Microporidae,Microporina,TRUE,FALSE,FALSE,160496,160496,NA,NA
Bathyctena chuni,NA,Species,Ctenophora,Tentaculata,Cydippida,Bathyctenidae,Bathyctena,TRUE,FALSE,FALSE,265844,265844,NA,1403704
Artacama coniferi,NA,Species,Annelida,Polychaeta,Terebellida,Terebellidae,Artacama,TRUE,FALSE,FALSE,326651,326651,NA,NA
Arctonoe pulchra,NA,Species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,TRUE,FALSE,FALSE,333030,333030,193553,868024
Golfingia (Golfingia) margaritacea,NA,Species,Annelida,NA,Sipuncula,Golfingiidae,Golfingia,TRUE,FALSE,FALSE,175027,175027,NA,NA
Stylantheca papillosa,NA,Species,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Stylantheca,TRUE,NA,FALSE,291143,291143,808593,2172717
Phyllochaetopterus prolifica,NA,Species,Annelida,Polychaeta,NA,Chaetopteridae,Phyllochaetopterus,TRUE,FALSE,FALSE,330562,330562,205816,673209
Calcigorgia beringi,NA,Species,Cnidaria,Anthozoa,Malacalcyonacea,Malacalcyonacea incertae sedis,Calcigorgia,TRUE,NA,FALSE,520678,520678,514312,639591
Lepidozona interstincta,NA,Species,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,TRUE,NA,NA,386044,386044,105256,430696
Ampelisca hancocki,NA,Species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,TRUE,FALSE,FALSE,422990,422990,370391,NA
Protomedeia prudens,NA,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Protomedeia,TRUE,NA,NA,431447,431447,NA,NA
Pentidotea resecata,NA,Species,Arthropoda,Malacostraca,Isopoda,Idoteidae,Pentidotea,TRUE,FALSE,FALSE,261978,261978,722669,142076
