found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Icelinus borealis,Icelinus borealis,accepted,Icelinus borealis,NA,species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281133,281133,101081,433388,Aleutian Islands
Allocareproctus kallaion,Allocareproctus kallaion,accepted,Allocareproctus kallaion,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279556,279556,804232,NA,Aleutian Islands
Coryphaenoides cinereus,Coryphaenoides cinereus,accepted,Coryphaenoides cinereus,NA,species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272326,272326,33960,83391,Aleutian Islands
Nectoliparis pelagicus,Nectoliparis pelagicus,accepted,Nectoliparis pelagicus,NA,species,Actinopteri,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,281641,99717,446815,Aleutian Islands
Sebastes melanops,Sebastes melanops,accepted,Sebastes melanops,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274817,274817,10711,72085,Aleutian Islands
Allocareproctus jordani,Allocareproctus jordani,accepted,Allocareproctus jordani,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279555,279555,879080,1696904,Aleutian Islands
Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus,accepted,Bathymaster caeruleofasciatus,NA,species,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,279415,279415,NA,1188226,Aleutian Islands
Careproctus simus,Careproctus simus,accepted,Careproctus simus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274473,274473,799408,1642164,Aleutian Islands
Bolinia euryptera,Bolinia euryptera,accepted,Bolinia euryptera,NA,species,Actinopteri,Perciformes,Cottidae,Bolinia,TRUE,FALSE,FALSE,398458,398458,NA,NA,Aleutian Islands
Caristius macropus,Caristius macropus,accepted,Caristius macropus,NA,species,Actinopteri,Scombriformes,Caristiidae,Caristius,TRUE,FALSE,FALSE,126824,126824,125643,740692,Aleutian Islands
Paraliparis dactylosus,Paraliparis dactylosus,accepted,Paraliparis dactylosus,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,274568,78141,557357,Aleutian Islands
Icelus spiniger,Icelus spiniger,accepted,Icelus spiniger,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,254525,99722,557345,Aleutian Islands
Malacocottus kincaidi,Malacocottus kincaidi,accepted,Malacocottus kincaidi,NA,species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279442,279442,10680,433396,Aleutian Islands
Careproctus ectenes,Careproctus ectenes,accepted,Careproctus ectenes,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274424,274424,NA,NA,Aleutian Islands
Anoplarchus insignis,Anoplarchus insignis,accepted,Anoplarchus insignis,NA,species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279632,279632,125605,1225888,Aleutian Islands
Embassichthys bathybius,Embassichthys bathybius,accepted,Embassichthys bathybius,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Embassichthys,TRUE,FALSE,FALSE,280641,280641,33932,320376,Aleutian Islands
