species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Sebastes aurora,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274774,274774,33926,72058
Sardinops sagax,NA,Species,Actinopteri,Clupeiformes,Clupeidae,Sardinops,TRUE,FALSE,FALSE,217452,217452,10866,28381
Enophrys bison,NA,Species,Actinopteri,Perciformes,Cottidae,Enophrys,TRUE,FALSE,FALSE,275355,275355,125570,320617
Lycodes palearis,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254585,254585,11375,215425
Stenobrachius nannochir,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254364,254364,33994,123240
Icosteus aenigmaticus,NA,Species,Actinopteri,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,281153,125452,215386
Clupea harengus,NA,Species,Actinopteri,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,FALSE,126417,126417,47302,7950
Oligocottus snyderi,NA,Species,Actinopteri,Perciformes,Cottidae,Oligocottus,TRUE,FALSE,FALSE,281875,281875,125661,459052
Sebastes miniatus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274820,274820,33917,72087
Xiphister atropurpureus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283194,283194,125640,283024
Liparis pulchellus,NA,Species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274533,274533,99718,433402
Lampanyctus ritteri,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301548,301548,NA,319541
Salvelinus malma,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,TRUE,TRUE,TRUE,254570,254570,88751,8039
Lycodapus mandibularis,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279391,279391,99723,557350
Anoplarchus purpurescens,NA,Species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279633,279633,78132,320623
Anarrhichthys ocellatus,NA,Species,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys,TRUE,FALSE,FALSE,279605,279605,NA,433405
Lumpenella longirostris,NA,Species,Actinopteri,Perciformes,Stichaeidae,Lumpenella,TRUE,FALSE,FALSE,254351,254351,11193,557408
Artedius lateralis,NA,Species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279702,279702,76453,322683
Hypomesus olidus,NA,Species,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,TRUE,TRUE,TRUE,254556,254556,110756,240830
Pseudobathylagus milleri,NA,Species,Actinopteri,Argentiniformes,Bathylagidae,Pseudobathylagus,TRUE,FALSE,FALSE,282406,282406,34556,301820
Paricelinus hopliticus,NA,Species,Actinopteri,Perciformes,Cottidae,Paricelinus,TRUE,FALSE,FALSE,282147,282147,395152,NA
Myoxocephalus polyacanthocephalus,NA,Species,Actinopteri,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254528,254528,101094,238839
Bathyagonus infraspinatus,NA,Species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254504,254504,34013,557335
Cottus aleuticus,NA,Species,Actinopteri,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274366,274366,NA,214914
Icelinus borealis,NA,Species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281133,281133,101081,433388
Sebastes auriculatus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274773,274773,140739,72057
Nectoliparis pelagicus,NA,Species,Actinopteri,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,281641,99717,446815
Eucyclogobius newberryi,NA,Species,Actinopteri,Gobiiformes,Gobiidae,Eucyclogobius,TRUE,TRUE,FALSE,280737,280737,53816,166745
Trichodon trichodon,NA,Species,Actinopteri,Perciformes,Trichodontidae,Trichodon,TRUE,FALSE,FALSE,283043,283043,34016,209541
Bathymaster signatus,NA,Species,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,254513,254513,101098,274808
Apodichthys flavidus,NA,Species,Actinopteri,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279664,279664,125580,57779
Oncorhynchus clarkii,Oncorhynchus clarkii clarkii,Subspecies,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,274347,323483,NA,69121
Apodichthys fucorum,NA,Species,Actinopteri,Perciformes,Pholidae,Apodichthys,TRUE,FALSE,FALSE,279665,279665,125639,57780
Aulorhynchus flavidus,NA,Species,Actinopteri,Perciformes,Aulorhynchidae,Aulorhynchus,TRUE,FALSE,FALSE,279839,279839,99726,240152
Sebastes emphaeus,NA,Species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274789,274789,60119,72071
Cyclothone signata,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,154831,154831,76497,48453
Triglops pingelii,NA,Species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,127207,89115,433391
Xiphister mucosus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283195,283195,78130,283031
Gobiesox maeandricus,NA,Species,Actinopteri,Gobiesociformes,Gobiesocidae,Gobiesox,TRUE,FALSE,FALSE,275671,275671,125653,63828
Somniosus pacificus,NA,Species,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,TRUE,FALSE,FALSE,271654,271654,33997,305516
Pholis laeta,NA,Species,Actinopteri,Perciformes,Pholidae,Pholis,TRUE,FALSE,FALSE,273689,273689,125636,283367
Agonopsis vulsa,NA,Species,Actinopteri,Perciformes,Agonidae,Agonopsis,TRUE,FALSE,FALSE,279522,279522,99715,428027
Psychrolutes paradoxus,NA,Species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,254566,99721,980342
Bathyraja trachura,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271538,271538,33943,341251
Hemilepidotus jordani,NA,Species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254522,254522,101090,274759
Careproctus melanurus,NA,Species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,254549,33941,274785
Lestidiops ringens,NA,Species,Actinopteri,Aulopiformes,Paralepididae,Lestidiops,TRUE,FALSE,FALSE,272096,272096,125494,319759
Symbolophorus californiensis,NA,Species,Actinopteri,Myctophiformes,Myctophidae,Symbolophorus,TRUE,FALSE,FALSE,272733,272733,125481,123339
Brachyistius frenatus,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,TRUE,FALSE,FALSE,240721,240721,99711,100188
Catostomus catostomus,NA,Species,Actinopteri,Cypriniformes,Catostomidae,Catostomus,FALSE,TRUE,TRUE,158706,158706,50664,43956
Mola mola,NA,Species,Actinopteri,Tetraodontiformes,Molidae,Mola,TRUE,FALSE,FALSE,127405,127405,29489,94237
Clinocottus globiceps,NA,Species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,FALSE,FALSE,280221,280221,125648,459047
Bathyraja aleutica,NA,Species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271506,271506,80066,341243
Cyclothone microdon,NA,Species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127286,127286,59442,48447
Reinhardtius hippoglossoides,NA,Species,Actinopteri,Pleuronectiformes,Pleuronectidae,Reinhardtius,TRUE,FALSE,FALSE,127144,127144,34619,111784
Hypsurus caryi,NA,Species,Actinopteri,Ovalentaria incertae sedis,Embiotocidae,Hypsurus,TRUE,FALSE,FALSE,240717,240717,NA,100194
