verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Zesticelus profundorum,Zesticelus profundorum,accepted,Zesticelus profundorum,NA,species,Actinopteri,Perciformes,Cottidae,Zesticelus,TRUE,FALSE,FALSE,283218,283218,125667,740938,California Current
Notorynchus cepedianus,Notorynchus cepedianus,accepted,Notorynchus cepedianus,NA,species,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus,TRUE,TRUE,FALSE,217628,217628,54189,7857,California Current
Myxine hubbsi,Myxine hubbsi,accepted,Myxine hubbsi,NA,species,Myxini,Myxiniformes,Myxinidae,Myxine,TRUE,FALSE,FALSE,271304,271304,NA,NA,California Current
Benthosema panamense,Benthosema panamense,accepted,Benthosema panamense,NA,species,Actinopteri,Myctophiformes,Myctophidae,Benthosema,TRUE,FALSE,FALSE,272648,272648,716946,1197456,California Current
Congriscus megastoma,Congriscus megastoma,accepted,Congriscus megastoma,NA,species,Actinopteri,Anguilliformes,Congridae,Congriscus,TRUE,FALSE,FALSE,280374,280374,754716,1604600,California Current
Malacoctenus tetranemus,Malacoctenus tetranemus,accepted,Malacoctenus tetranemus,NA,species,Actinopteri,Blenniiformes,Labrisomidae,Malacoctenus,TRUE,FALSE,FALSE,281502,281502,181226,879509,California Current
Neoclinus stephensae,Neoclinus stephensae,accepted,Neoclinus stephensae,NA,species,Actinopteri,Blenniiformes,Chaenopsidae,Neoclinus,TRUE,FALSE,FALSE,281685,281685,NA,NA,California Current
Serrivomer jesperseni,Serrivomer jesperseni,accepted,Serrivomer jesperseni,NA,species,Actinopteri,Anguilliformes,Serrivomeridae,Serrivomer,TRUE,FALSE,FALSE,272002,272002,33970,557366,California Current
Hirundichthys marginatus,Hirundichthys marginatus,accepted,Hirundichthys marginatus,NA,species,Actinopteri,Beloniformes,Exocoetidae,Hirundichthys,TRUE,FALSE,FALSE,272170,272170,NA,293903,California Current
Lampanyctus steinbecki,Lampanyctus steinbecki,accepted,Lampanyctus steinbecki,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,272717,272717,NA,NA,California Current
Prionotus albirostris,Prionotus albirostris,accepted,Prionotus albirostris,NA,species,Actinopteri,Perciformes,Triglidae,Prionotus,TRUE,FALSE,FALSE,276278,276278,799444,1897795,California Current
Erilepis zonifer,Erilepis zonifer,accepted,Erilepis zonifer,NA,species,Actinopteri,Perciformes,Anoplopomatidae,Erilepis,TRUE,FALSE,FALSE,280700,280700,NA,270543,California Current
