"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"3170","Flagellostomias boureei","Flagellostomias boureei","accepted","Flagellostomias boureei",NA,"species","Actinopteri","Stomiiformes","Stomiidae","Flagellostomias",TRUE,FALSE,FALSE,127351,882833,"Southern California Bight","Flagellostomias boureei"
"3171","Desmodema polystictum","Desmodema polystictum","accepted","Desmodema polystictum",NA,"species","Actinopteri","Lampriformes","Trachipteridae","Desmodema",TRUE,FALSE,FALSE,158922,1263174,"Southern California Bight","Desmodema polystictum"
"3172","Uraspis secunda","Uraspis secunda","accepted","Uraspis secunda",NA,"species","Actinopteri","Carangiformes","Carangidae","Uraspis",TRUE,FALSE,FALSE,159658,948070,"Southern California Bight","Uraspis secunda"
"3173","Eucinostomus argenteus","Eucinostomus argenteus","accepted","Eucinostomus argenteus",NA,"species","Actinopteri","Eupercaria incertae sedis","Gerreidae","Eucinostomus",TRUE,TRUE,TRUE,159732,320605,"Southern California Bight","Eucinostomus argenteus"
"3174","Myctophum aurolaternatum","Myctophum aurolaternatum","accepted","Myctophum aurolaternatum",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Myctophum",TRUE,FALSE,FALSE,217715,740701,"Southern California Bight","Myctophum aurolaternatum"
"3175","Scopelarchus guentheri","Scopelarchus guentheri","accepted","Scopelarchus guentheri",NA,"species","Actinopteri","Aulopiformes","Scopelarchidae","Scopelarchus",TRUE,FALSE,FALSE,217724,1076264,"Southern California Bight","Scopelarchus guentheri"
"3176","Mycteroperca rosacea","Mycteroperca rosacea","accepted","Mycteroperca rosacea",NA,"species","Actinopteri","Perciformes","Serranidae","Mycteroperca",TRUE,FALSE,FALSE,273883,160731,"Southern California Bight","Mycteroperca rosacea"
"3177","Serranus aequidens","Serranus aequidens","accepted","Serranus aequidens",NA,"species","Actinopteri","Perciformes","Serranidae","Serranus",TRUE,FALSE,FALSE,273888,1955183,"Southern California Bight","Serranus aequidens"
"3178","Sebastes nebulosus","Sebastes nebulosus","accepted","Sebastes nebulosus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274824,394698,"Southern California Bight","Sebastes nebulosus"
"3179","Citharichthys gilberti","Citharichthys gilberti","accepted","Citharichthys gilberti",NA,"species","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys",TRUE,TRUE,TRUE,275688,644421,"Southern California Bight","Citharichthys gilberti"
"3180","Lampanyctus bristori","Nannobrachium bristori","unaccepted","Nannobrachium bristori",NA,"species","Actinopteri","Myctophiformes","Myctophidae","Nannobrachium",TRUE,FALSE,FALSE,275859,1519989,"Southern California Bight","Lampanyctus bristori"
"3181","Brotula clarkae","Brotula clarkae","accepted","Brotula clarkae",NA,"species","Actinopteri","Ophidiiformes","Ophidiidae","Brotula",TRUE,FALSE,FALSE,275888,NA,"Southern California Bight","Brotula clarkae"
"3182","Gobiosoma chiquita","Gobiosoma chiquita","accepted","Gobiosoma chiquita",NA,"species","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma",TRUE,FALSE,FALSE,276505,317254,"Southern California Bight","Gobiosoma chiquita"
"3183","Lutjanus guttatus","Lutjanus guttatus","accepted","Lutjanus guttatus",NA,"species","Actinopteri","Eupercaria incertae sedis","Lutjanidae","Lutjanus",TRUE,FALSE,FALSE,276539,455479,"Southern California Bight","Lutjanus guttatus"
"3184","Plagiotremus azaleus","Plagiotremus azaleus","accepted","Plagiotremus azaleus",NA,"species","Actinopteri","Blenniiformes","Blenniidae","Plagiotremus",TRUE,FALSE,FALSE,278234,879518,"Southern California Bight","Plagiotremus azaleus"
"3185","Embassichthys bathybius","Embassichthys bathybius","accepted","Embassichthys bathybius",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Embassichthys",TRUE,FALSE,FALSE,280641,320376,"Southern California Bight","Microstomus bathybius"
"3186","Nematistius pectoralis","Nematistius pectoralis","accepted","Nematistius pectoralis",NA,"species","Actinopteri","Carangiformes","Nematistiidae","Nematistius",TRUE,FALSE,FALSE,281664,173244,"Southern California Bight","Nematistius pectoralis"
