verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Bradyidius saanichi,Bradyidius saanichi,accepted,Bradyidius saanichi,NA,species,Arthropoda,Copepoda,Calanoida,Aetideidae,Bradyidius,TRUE,FALSE,FALSE,346179,346179,NA,NA,104115
Dermasterias imbricata,Dermasterias imbricata,accepted,Dermasterias imbricata,NA,species,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,TRUE,FALSE,FALSE,240771,240771,32893,7590,240770
NA,Sphaerosyllis,accepted,NA,NA,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Sphaerosyllis,TRUE,FALSE,FALSE,NA,129677,NA,199569,129677
Lottia scutum,Lottia scutum,accepted,Lottia scutum,NA,species,Mollusca,Gastropoda,NA,Lottiidae,Lottia,TRUE,FALSE,FALSE,456605,456605,103732,351231,160336
Eutonina indicans,Eutonina indicans,accepted,Eutonina indicans,NA,species,Cnidaria,Hydrozoa,Leptothecata,Eirenidae,Eutonina,TRUE,NA,FALSE,117517,117517,348964,500057,117083
Metacarcinus gracilis,Metacarcinus gracilis,accepted,Metacarcinus gracilis,NA,species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,TRUE,FALSE,FALSE,440387,440387,201873,88206,439213
NA,Lottia,accepted,NA,NA,genus,Mollusca,Gastropoda,NA,Lottiidae,Lottia,TRUE,FALSE,FALSE,NA,160336,NA,72691,160336
Pholoides asperus,Pholoides asperus,accepted,Pholoides asperus,NA,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoides,TRUE,FALSE,FALSE,334498,334498,205769,868093,129440
Lirularia succincta,Lirularia succincta,accepted,Lirularia succincta,NA,species,Mollusca,Gastropoda,Trochida,Trochidae,Lirularia,TRUE,NA,NA,528721,528721,495436,55012,413459
Pholoe minuta,Pholoe minuta,accepted,Pholoe minuta,NA,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,TRUE,FALSE,FALSE,130603,130603,204055,222013,129439
Prionospio steenstrupi,Prionospio steenstrupi,accepted,Prionospio steenstrupi,NA,species,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,TRUE,FALSE,FALSE,131164,131164,32477,94675,129620
NA,Spirorbis,accepted,NA,NA,genus,Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,TRUE,FALSE,FALSE,NA,129642,NA,272742,129642
Crucigera zygophora,Crucigera zygophora,accepted,Crucigera zygophora,NA,species,Annelida,Polychaeta,Sabellida,Serpulidae,Crucigera,TRUE,FALSE,FALSE,332723,332723,160497,356928,206777
Urticina crassicornis,Urticina crassicornis,accepted,Urticina crassicornis,NA,species,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,TRUE,NA,NA,100832,100832,33441,45621,100706
Pandalus hypsinotus,Pandalus hypsinotus,accepted,Pandalus hypsinotus,NA,species,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,TRUE,FALSE,FALSE,515467,515467,9232,242778,107044
Axinopsida serricata,Axinopsida serricata,accepted,Axinopsida serricata,NA,species,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinopsida,TRUE,NA,NA,246819,246819,299423,1421188,138550
Ennucula tenuis,Ennucula tenuis,accepted,Ennucula tenuis,NA,species,Mollusca,Bivalvia,Nuculida,Nuculidae,Ennucula,TRUE,NA,NA,140584,140584,154208,NA,138261
Cerithiopsis stejnegeri,Cerithiopsis stejnegeri,accepted,Cerithiopsis stejnegeri,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiopsidae,Cerithiopsis,TRUE,TRUE,NA,576349,576349,NA,NA,137764
Crepipatella dorsata,Crepipatella dorsata,accepted,Crepipatella dorsata,NA,species,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepipatella,TRUE,FALSE,FALSE,745701,745701,104470,397599,234136
Discorsopagurus schmitti,Discorsopagurus schmitti,accepted,Discorsopagurus schmitti,NA,species,Arthropoda,Malacostraca,Decapoda,Paguridae,Discorsopagurus,TRUE,FALSE,FALSE,366310,366310,803349,177274,366307
Tonicella insignis,Tonicella insignis,accepted,Tonicella insignis,NA,species,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,TRUE,NA,NA,386440,386440,495423,1421152,138090
Siphonaria thersites,Siphonaria thersites,accepted,Siphonaria thersites,NA,species,Mollusca,Gastropoda,Siphonariida,Siphonariidae,Siphonaria,TRUE,FALSE,TRUE,581906,581906,722678,1859609,138489
NA,Pugettia,accepted,NA,NA,genus,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,TRUE,NA,NA,NA,240779,NA,27407,240779
Erinaceusyllis erinaceus,Erinaceusyllis erinaceus,accepted,Erinaceusyllis erinaceus,NA,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Erinaceusyllis,TRUE,NA,NA,195953,195953,NA,2572474,195949
Amphipholis pugetana,Amphipholis pugetana,accepted,Amphipholis pugetana,NA,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,TRUE,FALSE,FALSE,242878,242878,218635,497676,123612
Aetideus armatus,Aetideus armatus,accepted,Aetideus armatus,NA,species,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,TRUE,FALSE,FALSE,104275,104275,92375,883816,104112
Gaetanus armiger,Gaetanus armiger,accepted,Gaetanus armiger,NA,species,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,TRUE,FALSE,FALSE,104306,104306,NA,1240613,104121
Ninoe gemmea,Ninoe gemmea,accepted,Ninoe gemmea,NA,species,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,TRUE,FALSE,FALSE,329948,329948,204058,NA,129338
Vitrinella columbiana,Vitrinella columbiana,accepted,Vitrinella columbiana,NA,species,Mollusca,Gastropoda,Littorinimorpha,Vitrinellidae,Vitrinella,TRUE,NA,NA,580565,580565,NA,NA,160067
Eudorella emarginata,Eudorella emarginata,accepted,Eudorella emarginata,NA,species,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,TRUE,TRUE,FALSE,110524,110524,597966,2268647,110412
Granulina margaritula,Granulina margaritula,accepted,Granulina margaritula,NA,species,Mollusca,Gastropoda,Neogastropoda,Granulinidae,Granulina,TRUE,NA,NA,550134,550134,600862,NA,138165
NA,Monstrilla,accepted,NA,NA,genus,Arthropoda,Copepoda,Monstrilloida,Monstrillidae,Monstrilla,TRUE,FALSE,FALSE,NA,119780,NA,389309,119780
Praxillella gracilis,Praxillella gracilis,accepted,Praxillella gracilis,NA,species,Annelida,Polychaeta,NA,Maldanidae,Praxillella,TRUE,FALSE,FALSE,130324,130324,516099,1818039,129360
Calliostoma ligatum,Calliostoma ligatum,accepted,Calliostoma ligatum,NA,species,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,TRUE,FALSE,FALSE,580412,580412,399933,703298,138584
NA,Eucalanus,accepted,NA,NA,genus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,TRUE,FALSE,FALSE,NA,104171,NA,121140,104171
Sternaspis scutata,Sternaspis scutata,accepted,Sternaspis scutata,NA,species,Annelida,Polychaeta,Terebellida,Sternaspidae,Sternaspis,TRUE,FALSE,FALSE,131242,131242,226269,36133,129644
Sagitta bipunctata,Sagitta bipunctata,accepted,Sagitta bipunctata,NA,species,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,TRUE,FALSE,FALSE,105448,105448,216074,52901,105410
Littorina scutulata,Littorina scutulata,accepted,Littorina scutulata,NA,species,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,TRUE,FALSE,FALSE,445657,445657,182798,31221,138135
Amphissa columbiana,Amphissa columbiana,accepted,Amphissa columbiana,NA,species,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,TRUE,NA,NA,511361,511361,277371,1421183,137801
Owenia fusiformis,Owenia fusiformis,accepted,Owenia fusiformis,NA,species,Annelida,Polychaeta,NA,Oweniidae,Owenia,TRUE,FALSE,FALSE,130544,130544,29435,6347,129427
Stylocheiron maximum,Stylocheiron maximum,accepted,Stylocheiron maximum,NA,species,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron,TRUE,NA,NA,110704,110704,81351,150495,110678
NA,Amphipholis,accepted,NA,NA,genus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,TRUE,FALSE,FALSE,NA,123612,NA,48270,123612
