found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Salmoneus carvachoi,Salmoneus carvachoi,accepted,Salmoneus carvachoi,NA,species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Salmoneus,TRUE,FALSE,FALSE,515095,515095,NA,1837159,106981
Turbonilla sanmatiensis,Turbonilla sanmatiensis,accepted,Turbonilla sanmatiensis,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,TRUE,NA,FALSE,533580,533580,NA,NA,138421
Melanella eburnea,Melanella eburnea,accepted,Melanella eburnea,NA,species,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella,TRUE,NA,NA,537003,537003,NA,NA,137978
Opaliopsis cearensis,Opaliopsis cearensis,accepted,Opaliopsis cearensis,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Opaliopsis,TRUE,NA,NA,581721,581721,NA,NA,137949
Pazinotus gili,Pazinotus gili,accepted,Pazinotus gili,NA,species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Pazinotus,TRUE,NA,NA,596376,596376,NA,NA,397216
Carminodoris hansrosaorum,Carminodoris hansrosaorum,accepted,Carminodoris hansrosaorum,NA,species,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Carminodoris,TRUE,FALSE,FALSE,1304883,1304883,NA,NA,138357
Puncturella alaris,Puncturella alaris,accepted,Puncturella alaris,NA,species,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella,TRUE,FALSE,FALSE,1340320,1340320,NA,NA,138015
Mesocletodes,Mesocletodes,accepted,NA,NA,genus,Arthropoda,Copepoda,Harpacticoida,Argestidae,Mesocletodes,TRUE,FALSE,FALSE,NA,115230,NA,1817496,115230
Metaconchoecia discoveryi,Metaconchoecia discoveryi,accepted,Metaconchoecia discoveryi,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Metaconchoecia,TRUE,NA,FALSE,127804,127804,NA,NA,127546
Forskalia contorta,Forskalia contorta,accepted,Forskalia contorta,NA,species,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,Forskalia,TRUE,FALSE,FALSE,152179,152179,651115,658376,135396
Agelas clathrodes,Agelas clathrodes,accepted,Agelas clathrodes,NA,species,Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,TRUE,FALSE,FALSE,164823,164823,152479,313630,131771
Aplysina cauliformis,Aplysina cauliformis,accepted,Aplysina cauliformis,NA,species,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,TRUE,FALSE,FALSE,169642,169642,152474,NA,131975
Thordisa diuda,Thordisa diuda,accepted,Thordisa diuda,NA,species,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Thordisa,TRUE,NA,FALSE,181231,181231,NA,NA,137900
Ledella,Ledella,accepted,NA,NA,genus,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Ledella,TRUE,NA,NA,NA,182795,NA,297588,182795
Neotanais tricarinatus,Neotanais tricarinatus,accepted,Neotanais tricarinatus,NA,species,Arthropoda,Malacostraca,Tanaidacea,Neotanaidae,Neotanais,TRUE,NA,NA,244646,244646,NA,NA,136204
Ceratonereis longicirrata,Ceratonereis longicirrata,accepted,Ceratonereis longicirrata,NA,species,Annelida,Polychaeta,Phyllodocida,Nereididae,Ceratonereis,TRUE,FALSE,FALSE,327396,327396,731026,NA,129372
Paradentalium,Paradentalium,accepted,NA,NA,genus,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Paradentalium,TRUE,NA,NA,NA,343649,NA,NA,343649
Asterocheres neptunei,Asterocheres neptunei,accepted,Asterocheres neptunei,NA,species,Arthropoda,Copepoda,Siphonostomatoida,Asterocheridae,Asterocheres,TRUE,FALSE,FALSE,362545,362545,NA,NA,135554
Lucapina philippiana,Lucapina philippiana,accepted,Lucapina philippiana,NA,species,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Lucapina,TRUE,NA,NA,419365,419365,NA,NA,224321
Rissoella caribaea,Rissoella caribaea,accepted,Rissoella caribaea,NA,species,Mollusca,Gastropoda,NA,Rissoellidae,Rissoella,TRUE,NA,NA,420414,420414,NA,57639,138438
Eulimastoma didymum,Eulimastoma didymum,accepted,Eulimastoma didymum,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Eulimastoma,TRUE,FALSE,FALSE,420445,420445,NA,NA,415366
Globivenus foresti,Globivenus foresti,accepted,Globivenus foresti,NA,species,Mollusca,Bivalvia,Venerida,Veneridae,Globivenus,TRUE,NA,NA,507664,507664,NA,NA,138638
Notocochlis isabelleana,Notocochlis isabelleana,accepted,Notocochlis isabelleana,NA,species,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Notocochlis,TRUE,NA,NA,533181,533181,NA,NA,370550
Niveria maltbiana,Niveria maltbiana,accepted,Niveria maltbiana,NA,species,Mollusca,Gastropoda,Littorinimorpha,Triviidae,Niveria,TRUE,FALSE,FALSE,555856,555856,NA,NA,391519
Oenopota diabula,Oenopota diabula,accepted,Oenopota diabula,NA,species,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Oenopota,TRUE,NA,NA,557258,557258,NA,NA,137826
Turbonilla obsoleta,Turbonilla obsoleta,accepted,Turbonilla obsoleta,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,TRUE,NA,NA,576081,576081,NA,NA,138421
Nanaphora verbernei,Nanaphora verbernei,accepted,Nanaphora verbernei,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Triphoridae,Nanaphora,TRUE,NA,NA,853020,853020,NA,NA,591756
Minuca victoriana,Minuca victoriana,accepted,Minuca victoriana,NA,species,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Minuca,TRUE,FALSE,FALSE,955274,955274,NA,1239961,955256
Microporella curta,Microporella curta,accepted,Microporella curta,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Microporellidae,Microporella,TRUE,NA,NA,1012015,1012015,NA,NA,110942
Schizobrachiella,Schizobrachiella,accepted,NA,NA,genus,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizobrachiella,TRUE,FALSE,FALSE,NA,110974,NA,NA,110974
Anthomastus grandiflorus,Anthomastus grandiflorus,accepted,Anthomastus grandiflorus,NA,species,Cnidaria,Anthozoa,Scleralcyonacea,Coralliidae,Anthomastus,TRUE,NA,FALSE,125335,125335,805304,NA,125285
Archiconchoecia striata,Archiconchoecia striata,accepted,Archiconchoecia striata,NA,species,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Archiconchoecia,TRUE,NA,FALSE,127746,127746,NA,1774325,127529
Ancilla,Ancilla,accepted,NA,NA,genus,Mollusca,Gastropoda,Neogastropoda,Ancillariidae,Ancilla,TRUE,NA,NA,NA,204969,NA,1920568,204969
Puelche,Puelche,accepted,NA,NA,genus,Arthropoda,Malacostraca,Amphipoda,Phoxocephalopsidae,Puelche,TRUE,NA,NA,NA,236886,NA,NA,236886
Alpheus bouvieri,Alpheus bouvieri,accepted,Alpheus bouvieri,NA,species,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,TRUE,FALSE,FALSE,240846,240846,173977,87356,106978
Ophionereis dolabriformis,Ophionereis dolabriformis,accepted,Ophionereis dolabriformis,NA,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophionereididae,Ophionereis,TRUE,FALSE,FALSE,243879,243879,NA,NA,123553
Excorallana longicornis,Excorallana longicornis,accepted,Excorallana longicornis,NA,species,Arthropoda,Malacostraca,Isopoda,Corallanidae,Excorallana,TRUE,FALSE,FALSE,260369,260369,NA,NA,248749
Lensia panikkari,Lensia panikkari,accepted,Lensia panikkari,NA,species,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,TRUE,FALSE,FALSE,287266,287266,NA,1441361,135365
Pholidoteuthis adami,Pholidoteuthis adami,accepted,Pholidoteuthis adami,NA,species,Mollusca,Cephalopoda,Oegopsida,Pholidoteuthidae,Pholidoteuthis,TRUE,NA,FALSE,342247,342247,33318,61737,225825
Pseudodiaptomus marshi,Pseudodiaptomus marshi,accepted,Pseudodiaptomus marshi,NA,species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,TRUE,TRUE,TRUE,355170,355170,738119,2134065,157680
Apocyclops procerus,Apocyclops procerus,accepted,Apocyclops procerus,NA,species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Apocyclops,FALSE,TRUE,TRUE,356720,356720,NA,938087,346765
Cletopontius titanus,Cletopontius titanus,accepted,Cletopontius titanus,NA,species,Arthropoda,Copepoda,Siphonostomatoida,Asterocheridae,Cletopontius,TRUE,FALSE,FALSE,361438,361438,NA,NA,346988
Caligus itacurussensis,Caligus itacurussensis,accepted,Caligus itacurussensis,NA,species,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Caligus,TRUE,FALSE,FALSE,361736,361736,NA,NA,135566
Petromica (Chaladesma) ciocalyptoides,Petromica (Chaladesma) ciocalyptoides,accepted,Petromica (Chaladesma) ciocalyptoides,NA,species,Porifera,Demospongiae,Bubarida,Desmanthidae,Petromica,TRUE,FALSE,FALSE,387356,387356,NA,1336821,131813
Turbonilla tupinamba,Turbonilla tupinamba,accepted,Turbonilla tupinamba,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,TRUE,NA,NA,387841,387841,NA,NA,138421
Siratus coltrorum,Siratus coltrorum,accepted,Siratus coltrorum,NA,species,Mollusca,Gastropoda,Neogastropoda,Muricidae,Siratus,TRUE,NA,NA,405269,405269,NA,NA,405258
Caecum multicostatum,Caecum multicostatum,accepted,Caecum multicostatum,NA,species,Mollusca,Gastropoda,Littorinimorpha,Caecidae,Caecum,TRUE,NA,NA,419591,419591,NA,NA,137718
Volvulella paupercula,Volvulella paupercula,accepted,Volvulella paupercula,NA,species,Mollusca,Gastropoda,Cephalaspidea,Rhizoridae,Volvulella,TRUE,FALSE,FALSE,420551,420551,NA,NA,138433
Jorunna spazzola,Jorunna spazzola,accepted,Jorunna spazzola,NA,species,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Jorunna,TRUE,NA,NA,420601,420601,NA,NA,138098
Leitoscoloplos robustus,Leitoscoloplos robustus,accepted,Leitoscoloplos robustus,NA,species,Annelida,Polychaeta,NA,Orbiniidae,Leitoscoloplos,TRUE,NA,NA,421019,421019,599506,645995,129418
