found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Semaprochilodus sp. CBM:ZF:12566,NA,Semaprochilodus sp. CBM:ZF:12566,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Pseudogastromyzon fangi,Pseudogastromyzon fangi,Pseudogastromyzon fangi,Pseudogastromyzon fangi,Pseudogastromyzon fangi,,2357499,369687,accepted,1015801,accepted,1,Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Pseudogastromyzon
Piaractus brachypomus,Piaractus brachypomus,Piaractus brachypomus,Piaractus brachypomus,Piaractus brachypomus,pirapitinga,2353225,42529,accepted,1022721,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Seriolella porosa,Seriolella porosa,Seriolella porosa,Seriolella porosa,Seriolella porosa,choicy ruff,2398111,458610,accepted,282757,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Centrolophidae,Seriolella
Piaractus mesopotamicus,Piaractus mesopotamicus,Piaractus mesopotamicus,Piaractus mesopotamicus,Piaractus mesopotamicus,pacu,2353219,42528,accepted,1019322,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Colossoma macropomum,Colossoma macropomum,Colossoma macropomum,Colossoma macropomum,Colossoma macropomum,tambaqui,2353152,42526,accepted,1020122,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Colossoma
Piaractus sp. HC-2014,NA,Piaractus sp. HC-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Piaractus
Geophagus brasiliensis,Geophagus brasiliensis,Geophagus brasiliensis,Geophagus brasiliensis,Geophagus brasiliensis,pearl cichlid,7769592,81339,accepted,280831,accepted,0,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Geophagus
Pygocentrus nattereri,Pygocentrus nattereri,Pygocentrus nattereri,Pygocentrus nattereri,Pygocentrus nattereri,red-bellied piranha,2352479,42514,accepted,1018170,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Serrasalmidae,Pygocentrus
Semaprochilodus taeniurus,Semaprochilodus taeniurus,Semaprochilodus taeniurus,Semaprochilodus taeniurus,Semaprochilodus taeniurus,silver prochilodus,2352134,627180,accepted,1150190,accepted,1,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Semaprochilodus
Salmo salar,Salmo salar,Salmo salar,Salmo salar,Salmo salar,Atlantic salmon,7595433,8030,accepted,127186,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salmo trutta,Salmo trutta,Salmo trutta,Salmo trutta,Salmo trutta,river trout,8215487,8032,accepted,127187,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo
Salvelinus leucomaenis,Salvelinus leucomaenis,Salvelinus leucomaenis,Salvelinus leucomaenis,Salvelinus leucomaenis,whitespotted char,4284019,8034,accepted,293725,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
