found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Plecoglossus altivelis,Plecoglossus altivelis,Plecoglossus altivelis,Plecoglossus altivelis,Plecoglossus altivelis,ayu,4283980,61084,accepted,293715,accepted,0,Animalia,Chordata,Teleostei,Osmeriformes,Plecoglossidae,Plecoglossus
Opistognathus evermanni,Opistognathus evermanni,Opistognathus evermanni,Opistognathus evermanni,Opistognathus evermanni,,2391786,270591,accepted,276449,accepted,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Opistognathus decorus,Opistognathus decorus,Opistognathus decorus,Opistognathus decorus,Opistognathus decorus,tattoo jawfish,2391844,1522406,accepted,276447,accepted,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Salanx ariakensis,Salanx ariakensis,Salanx ariakensis,Salanx ariakensis,Salanx ariakensis,,2410990,221867,accepted,282651,accepted,0,Animalia,Chordata,Teleostei,Osmeriformes,Salangidae,Salanx
Opistognathus hopkinsi,Opistognathus hopkinsi,Opistognathus hopkinsi,Opistognathus hopkinsi,Opistognathus hopkinsi,ago-amadai,2391809,2057050,accepted,276455,accepted,0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Opistognathidae,Opistognathus
Lagocephalus lunaris,Lagocephalus lunaris,Lagocephalus lunaris,Lagocephalus lunaris,Lagocephalus lunaris,lunartail puffer,2407773,204814,accepted,219957,accepted,0,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus
Myxodes viridis,Myxodes viridis,Myxodes viridis,Myxodes viridis,Myxodes viridis,,2380293,57828,accepted,281629,accepted,0,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Myxodes
Mallotus villosus,Mallotus villosus,Mallotus villosus,Mallotus villosus,Mallotus villosus,capelin,5214420,30960,accepted,126735,accepted,0,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus
Eviota kermadecensis,Eviota kermadecensis,Eviota kermadecensis,Eviota kermadecensis,Eviota kermadecensis,,7563629,2939085,accepted,834943,accepted,0,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Eviota
Xeniamia atrithorax,Xeniamia atrithorax,Xeniamia atrithorax,Xeniamia atrithorax,Xeniamia atrithorax,,8895823,2608480,accepted,1495366,accepted,0,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Xeniamia
Monotaxis grandoculis,Monotaxis grandoculis,Monotaxis grandoculis,Monotaxis grandoculis,Monotaxis grandoculis,humpnose big-eye bream,5208715,384591,accepted,218584,accepted,0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lethrinidae,Monotaxis
Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,Promethichthys prometheus,,2397743,349644,accepted,126866,accepted,0,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Promethichthys
Tylosurus melanotus,Tylosurus melanotus,Tylosurus acus melanotus,Tylosurus acus melanotus,Tylosurus acus melanotus,keel-jawed needle fish,6167907,129076,accepted,213650,unaccepted,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Tylosurus acus,Tylosurus acus,Tylosurus acus,Tylosurus acus,Tylosurus acus,Agujon needlefish,4286156,129073,accepted,126378,accepted,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Parascorpaena mossambica,Parascorpaena mossambica,Parascorpaena mossambica,Parascorpaena mossambica,Parascorpaena mossambica,Mozambique scorpionfish,2334490,1003773,accepted,218066,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Parascorpaena
Diretmus argenteus,Diretmus argenteus,Diretmus argenteus,Diretmus argenteus,Diretmus argenteus,silver spinyfin,2356678,88682,accepted,126398,accepted,0,Animalia,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmus
Tylosurus crocodilus,Tylosurus crocodilus,Tylosurus crocodilus crocodilus,Tylosurus crocodilus crocodilus,Tylosurus crocodilus crocodilus,hound needlefish,7193247,129078,synonym,159259,unaccepted,0,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Tylosurus
Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,northern lampfish,2405766,91658,accepted,254363,accepted,0,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius
Stenobrachius nannochir,Stenobrachius nannochir,Stenobrachius nannochir,Stenobrachius nannochir,Stenobrachius nannochir,garnet lanternfish,2405772,123240,accepted,254364,accepted,0,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius
Anguilla reinhardtii,Anguilla reinhardtii,Anguilla reinhardtii,Anguilla reinhardtii,Anguilla reinhardtii,speckled longfin eel,5213034,48165,accepted,271711,accepted,0,Animalia,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla
Sebastapistes tinkhami,Sebastapistes tinkhami,Sebastapistes tinkhami,Sebastapistes tinkhami,Sebastapistes tinkhami,darkspotted scorpionfish,5201239,1146990,accepted,218113,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Sebastapistes
Upeneus taeniopterus,Upeneus taeniopterus,Upeneus taeniopterus,Upeneus taeniopterus,Upeneus taeniopterus,,2396795,2747776,accepted,218685,accepted,0,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Upeneus
Diretmoides veriginae,Diretmoides veriginae,Diretmoides veriginae,Diretmoides veriginae,Diretmoides veriginae,spinyfish,2356689,181431,accepted,272205,accepted,0,Animalia,Chordata,Teleostei,Trachichthyiformes,Diretmidae,Diretmoides
Retropinna semoni,Retropinna semoni,Retropinna semoni,Retropinna semoni,Retropinna semoni,Australian smelt,2410423,182228,accepted,282569,accepted,0,Animalia,Chordata,Teleostei,Osmeriformes,Retropinnidae,Retropinna
Scatophagus argus,Scatophagus argus,Scatophagus argus,Scatophagus argus,Scatophagus argus,,2394736,75038,accepted,276970,accepted,0,Animalia,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,,2336521,225387,accepted,240745,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon
Hexagrammos agrammus,Hexagrammos agrammus,Hexagrammos agrammus,Hexagrammos agrammus,Hexagrammos agrammus,spotbelly greenling,2336490,192376,accepted,279410,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos lagocephalus,Hexagrammos lagocephalus,Hexagrammos lagocephalus,Hexagrammos lagocephalus,Hexagrammos lagocephalus,rock greenling,2336464,192377,accepted,240735,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos octogrammus,Hexagrammos octogrammus,Hexagrammos octogrammus,Hexagrammos octogrammus,Hexagrammos octogrammus,masked greenling,2336486,192375,accepted,254544,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Hexagrammos stelleri,Hexagrammos stelleri,Hexagrammos stelleri,Hexagrammos stelleri,Hexagrammos stelleri,whitespotted greenling,2336480,192378,accepted,254545,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Taurocottus bergii,Taurocottus bergii,Taurocottus bergii,Taurocottus bergii,Taurocottus bergii,,2333758,1849266,accepted,282937,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Taurocottus
Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,kelp greenling,2336472,274741,accepted,240732,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Blepsias cirrhosus,Blepsias cirrhosus,Blepsias cirrhosus,Blepsias cirrhosus,Blepsias cirrhosus,silverspotted sculpin,2335095,573213,accepted,279417,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Blepsias
Blepsias bilobus,Blepsias bilobus,Blepsias bilobus,Blepsias bilobus,Blepsias bilobus,crested sculpin,2335099,980325,accepted,254540,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Blepsias
Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,Pacific staghorn sculpin,2333923,214925,accepted,254345,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus
Podothecus sachi,Podothecus sachi,Podothecus sachi,Podothecus sachi,Podothecus sachi,tokubire,2337143,255533,accepted,279434,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Podothecus accipenserinus,Podothecus accipenserinus,Podothecus accipenserinus,Podothecus accipenserinus,Podothecus accipenserinus,sturgeon poacher,2337129,320612,accepted,254501,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Podothecus sturioides,Podothecus sturioides,Podothecus sturioides,Podothecus sturioides,Podothecus sturioides,,2337136,1633463,accepted,279435,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Tilesina gibbosa,Tilesina gibbosa,Tilesina gibbosa,Tilesina gibbosa,Tilesina gibbosa,,2337181,255544,accepted,282981,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Tilesina
Pallasina barbata,Pallasina barbata,Pallasina barbata,Pallasina barbata,Pallasina barbata,tubenose poacher,5201645,740932,accepted,254396,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Pallasina
Occella dodecaedron,Occella dodecaedron,Occella dodecaedron,Occella dodecaedron,Occella dodecaedron,,2337258,1633468,accepted,254398,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Occella
Brachyopsis segaliensis,Brachyopsis segaliensis,Brachyopsis segaliensis,Brachyopsis segaliensis,Brachyopsis segaliensis,,2337114,1633465,accepted,279983,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Brachyopsis
Trichocottus brashnikovi,Trichocottus brashnikovi,Trichocottus brashnikovi,Trichocottus brashnikovi,Trichocottus brashnikovi,hairhead sculpin,2333914,1054476,accepted,254355,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Trichocottus
Triglops scepticus,Triglops scepticus,Triglops scepticus,Triglops scepticus,Triglops scepticus,spectacled sculpin,2334046,274770,accepted,254531,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Triglops
Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,Atka mackerel,2336515,192379,accepted,282289,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Pleurogrammus
Chesnonia verrucosa,Chesnonia verrucosa,Chesnonia verrucosa,Chesnonia verrucosa,Chesnonia verrucosa,warty poacher,2337175,740928,accepted,254507,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Chesnonia
Leptagonus decagonus,Leptagonus decagonus,Leptagonus decagonus,Leptagonus decagonus,Leptagonus decagonus,Atlantic poacher,2337186,1266873,accepted,127191,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Leptagonus
Podothecus veternus,Podothecus veternus,Podothecus veternus,Podothecus veternus,Podothecus veternus,,2337142,980341,accepted,254509,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Sarritor frenatus,Sarritor frenatus,Sarritor frenatus,Sarritor frenatus,Sarritor frenatus,sawback poacher,5201627,274777,accepted,254374,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Sarritor
Bothragonus occidentalis,Bothragonus occidentalis,Bothragonus occidentalis,Bothragonus occidentalis,Bothragonus occidentalis,,2337161,1633464,accepted,279946,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bothragonus
Artediellus scaber,Artediellus scaber,Artediellus scaber,Artediellus scaber,Artediellus scaber,hamecon,2334273,980324,accepted,127194,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,bigmouth sculpin,2335114,470227,accepted,254541,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Hemitripterus villosus,Hemitripterus villosus,Hemitripterus villosus,Hemitripterus villosus,Hemitripterus villosus,,2335110,255551,accepted,276257,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Arctoscopus japonicus,Arctoscopus japonicus,Arctoscopus japonicus,Arctoscopus japonicus,Arctoscopus japonicus,sailfin sandfish,2390493,148607,accepted,279686,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Trichodontidae,Arctoscopus
Occella iburia,Occella iburia,Occella iburia,Occella iburia,Occella iburia,,2337266,497285,accepted,279436,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Occella
Hypsagonus corniger,Hypsagonus corniger,Hypsagonus corniger,Hypsagonus corniger,Hypsagonus corniger,,2337163,1633466,accepted,279424,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Hypsagonus
Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,,2334253,1633518,accepted,282232,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Phasmatocottus
Hemilepidotus spinosus,Hemilepidotus spinosus,Hemilepidotus spinosus,Hemilepidotus spinosus,Hemilepidotus spinosus,brown Irish lord,2333952,271501,accepted,279413,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Hemilepidotus
Cottus czerskii,Cottus czerskii,Cottus czerskii,Cottus czerskii,Cottus czerskii,Cherskii's sculpin,2334158,157167,accepted,1015693,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus poecilopus,Cottus poecilopus,Cottus poecilopus,Cottus poecilopus,Cottus poecilopus,alpine bullhead,2334159,182643,accepted,127197,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Hemitripterus americanus,Hemitripterus americanus,Hemitripterus americanus,Hemitripterus americanus,Hemitripterus americanus,sea raven,7938309,8094,accepted,159518,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Artediellus uncinatus,Artediellus uncinatus,Artediellus uncinatus,Artediellus uncinatus,Artediellus uncinatus,Arctic hookear sculpin,2334285,1266864,accepted,127195,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Artediellus atlanticus,Artediellus atlanticus,Artediellus atlanticus,Artediellus atlanticus,Artediellus atlanticus,Atlantic hookear sculpin,2334289,980323,accepted,127193,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Cottus asper,Cottus asper,Cottus asper,Cottus asper,Cottus asper,prickly sculpin,2334177,214916,accepted,274368,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus beldingii,Cottus beldingii,Cottus beldingii,Cottus beldingii,Cottus beldingii,Paiute sculpin,2334123,304265,accepted,1019570,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Gymnocanthus herzensteini,Gymnocanthus herzensteini,Gymnocanthus herzensteini,Gymnocanthus herzensteini,Gymnocanthus herzensteini,,2334017,255555,accepted,274373,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus
Gymnocanthus intermedius,Gymnocanthus intermedius,Gymnocanthus intermedius,Gymnocanthus intermedius,Gymnocanthus intermedius,,2334004,1043177,accepted,274374,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus
Hypsagonus quadricornis,Hypsagonus quadricornis,Hypsagonus quadricornis,Hypsagonus quadricornis,Hypsagonus quadricornis,,2337164,274775,accepted,254508,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Hypsagonus
Percis japonica,Percis japonica,Percis japonica,Percis japonica,Percis japonica,dragon poacher,5201641,1573630,accepted,254389,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Percis
Artediellus neyelovi,Artediellus neyelovi,Artediellus neyelovi,Artediellus neyelovi,Artediellus neyelovi,,2334277,1633449,accepted,274363,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Bathyagonus infraspinatus,Bathyagonus infraspinatus,Bathyagonus infraspinatus,Bathyagonus infraspinatus,Bathyagonus infraspinatus,spinycheek starsnout,2337085,557335,accepted,254504,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bathyagonus
Bathyagonus alascanus,Bathyagonus alascanus,Bathyagonus alascanus,Bathyagonus alascanus,Bathyagonus alascanus,gray starsnout,2337090,433408,accepted,254503,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bathyagonus
Cottus gobio,Cottus gobio,Cottus gobio,Cottus gobio,Cottus gobio,bullhead,7807208,100952,accepted,127196,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus marginatus,Cottus marginatus,Cottus marginatus,Cottus marginatus,Cottus marginatus,margined sculpin,2334146,304283,accepted,1019995,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus perplexus,Cottus perplexus,Cottus perplexus,Cottus perplexus,Cottus perplexus,reticulate sculpin,2334092,214920,accepted,1019368,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus gulosus,Cottus gulosus,Cottus gulosus,Cottus gulosus,Cottus gulosus,riffle sculpin,2334097,304276,accepted,1021621,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Radulinus asprellus,Radulinus asprellus,Radulinus asprellus,Radulinus asprellus,Radulinus asprellus,slim sculpin,2333754,274768,accepted,282541,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Radulinus
Icelus spiniger,Icelus spiniger,Icelus spiniger,Icelus spiniger,Icelus spiniger,thorny sculpin,5201198,557345,accepted,254525,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Icelus
Batrachocottus baicalensis,Batrachocottus baicalensis,Batrachocottus baicalensis,Batrachocottus baicalensis,Batrachocottus baicalensis,bighead sculpin,2335294,37346,accepted,1020418,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottocomephoridae,Batrachocottus
Cottocomephorus grewingki,NA,Cottocomephorus grewingki,Cottocomephorus grewingki,Cottocomephorus grewingki,Baikal yellowfin,2335277,57734,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Perciformes,Cottocomephoridae,Cottocomephorus
Gymnocanthus galeatus,Gymnocanthus galeatus,Gymnocanthus galeatus,Gymnocanthus galeatus,Gymnocanthus galeatus,armorhead sculpin,2334013,980328,accepted,254514,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus
Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus lumpus,lumpfish,5962255,8103,accepted,127214,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus
Aspidophoroides olrikii,Aspidophoroides olrikii,Ulcina olrikii,Ulcina olrikii,Ulcina olrikii,,2337215,980419,synonym,309268,unaccepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Ulcina
Sarritor leptorhynchus,Sarritor leptorhynchus,Sarritor leptorhynchus,Sarritor leptorhynchus,Sarritor leptorhynchus,longnose poacher,5201630,255539,accepted,254376,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Sarritor
Freemanichthys thompsoni,Freemanichthys thompsoni,Freemanichthys thompsoni,Freemanichthys thompsoni,Freemanichthys thompsoni,,2337081,255535,accepted,280801,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Freemanichthys
Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,cabezon,5201222,52273,accepted,282726,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Scorpaenichthys
Mesocottus haitej,Mesocottus haitej,Mesocottus haitej,Mesocottus haitej,Mesocottus haitej,Amur sculpin,2334302,1382205,accepted,1020672,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Mesocottus
Cottus pollux,Cottus pollux,Cottus pollux,Cottus pollux,Cottus pollux,Japanese fluvial sculpin,2334121,137882,accepted,1020436,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus dzungaricus,Cottus dzungaricus,Cottus dzungaricus,Cottus dzungaricus,Cottus dzungaricus,,2334068,1530446,accepted,1384383,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Pleurogrammus azonus,Pleurogrammus azonus,Pleurogrammus azonus,Pleurogrammus azonus,Pleurogrammus azonus,Okhostk atka mackerel,2336513,175282,accepted,282288,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Pleurogrammus
Myoxocephalus aenaeus,Myoxocephalus aenaeus,Myoxocephalus aenaeas,Myoxocephalus aenaeas,Myoxocephalus aenaeas,grubby sculpin,2333801,8096,synonym,159519,misspelling,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus
Cottus ricei,Cottus ricei,Cottus ricei,Cottus ricei,Cottus ricei,spoonhead sculpin,2334201,304288,accepted,564966,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus cognatus,Cottus cognatus,Cottus cognatus,Cottus cognatus,Cottus cognatus,slimy sculpin,2334185,147210,accepted,159512,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus bairdii,Cottus bairdii,Cottus bairdii,Cottus bairdii,Cottus bairdii,mottled sculpin,2334131,147208,accepted,578660,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Comephorus dybowskii,Comephorus dybowskii,Comephorus dybowskii,Comephorus dybowskii,Comephorus dybowskii,,2334857,61641,accepted,1018562,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Comephoridae,Comephorus
Cottus rhenanus,Cottus rhenanus,Cottus rhenanus,Cottus rhenanus,Cottus rhenanus,,2334183,446433,accepted,1009258,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus perifretum,Cottus perifretum,Cottus perifretum,Cottus perifretum,Cottus perifretum,,2334088,446432,accepted,1009257,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus rhotheus,Cottus rhotheus,Cottus rhotheus,Cottus rhotheus,Cottus rhotheus,torrent sculpin,2334075,214921,accepted,592854,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus hangiongensis,Cottus hangiongensis,Cottus hangiongensis,Cottus hangiongensis,Cottus hangiongensis,,2334082,290628,accepted,274369,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus volki,Cottus volki,Cottus volki,Cottus volki,Cottus volki,,2334101,369910,accepted,1015648,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus szanaga,Cottus szanaga,Cottus szanaga,Cottus szanaga,Cottus szanaga,,2334154,1920503,accepted,1020662,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Agonomalus jordani,Agonomalus jordani,Hypsagonus jordani,Hypsagonus jordani,Hypsagonus jordani,,2337149,1633467,synonym,367712,unaccepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Hypsagonus
Bathyagonus nigripinnis,Bathyagonus nigripinnis,Bathyagonus nigripinnis,Bathyagonus nigripinnis,Bathyagonus nigripinnis,blackfin poacher,2337089,433409,accepted,254505,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bathyagonus
Radulinopsis taranetzi,Radulinopsis taranetzi,Radulinopsis taranetzi,Radulinopsis taranetzi,Radulinopsis taranetzi,,2334336,1633507,accepted,282540,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Radulinopsis
Gymnocanthus detrisus,Gymnocanthus detrisus,Gymnocanthus detrisus,Gymnocanthus detrisus,Gymnocanthus detrisus,,2334015,255553,accepted,274372,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Gymnocanthus
Marukawichthys ambulator,Marukawichthys ambulator,Marukawichthys ambulator,Marukawichthys ambulator,Marukawichthys ambulator,,2335129,270554,accepted,281525,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Ereuniidae,Marukawichthys
Agonopsis vulsa,Agonopsis vulsa,Agonopsis vulsa,Agonopsis vulsa,Agonopsis vulsa,northern spearnose poacher,5201655,428027,accepted,279522,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Agonopsis
Xeneretmus leiops,Xeneretmus leiops,Xeneretmus leiops,Xeneretmus leiops,Xeneretmus leiops,,2337124,299564,accepted,283172,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Xeneretmus
Xeneretmus latifrons,Xeneretmus latifrons,Xeneretmus latifrons,Xeneretmus latifrons,Xeneretmus latifrons,,2337122,274780,accepted,283171,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Xeneretmus
Cottus aleuticus,Cottus aleuticus,Cottus aleuticus,Cottus aleuticus,Cottus aleuticus,coastrange sculpin,2334078,214914,accepted,274366,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Triglops pingelii,Triglops pingelii,Triglops pingelii,Triglops pingelii,Triglops pingelii,ribbed sculpin,2334033,433391,accepted,127207,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Triglops
Alcichthys elongatus,Alcichthys elongatus,Alcichthys elongatus,Alcichthys elongatus,Alcichthys elongatus,,2333975,1508112,accepted,279545,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Alcichthys
Cottus pitensis,Cottus pitensis,Cottus pitensis,Cottus pitensis,Cottus pitensis,pit sculpin,2334081,304285,accepted,1013621,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus confusus,Cottus confusus,Cottus confusus,Cottus confusus,Cottus confusus,shorthead sculpin,2334156,304271,accepted,592852,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus bendirei,Cottus bendirei,Cottus bendirei,Cottus bendirei,Cottus bendirei,,2334137,304266,accepted,1466624,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus koreanus,Cottus koreanus,Cottus koreanus,Cottus koreanus,Cottus koreanus,,2334091,1302306,accepted,1009243,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Jordania zonope,Jordania zonope,Jordania zonope,Jordania zonope,Jordania zonope,,2333884,274764,accepted,398459,accepted,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Jordania
Cottocomephorus inermis,Cottocomephorus inermis,Cottocomephorus inermis,Cottocomephorus inermis,Cottocomephorus inermis,longin Baikal sculpin,2335280,61627,accepted,1018975,accepted,1,Animalia,Chordata,Teleostei,Perciformes,Cottocomephoridae,Cottocomephorus
